#Table: J/AJ/137/3100/table4.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
Scl-0024|20B |3286.629|01 01 04.89 -33 43 40.0|19.54| 0.99| 125.1| 4.1| 0.21|0.02| 0.30|0.04|1.000|     |   |     |
Scl-0025|20B |3286.629|01 00 56.58 -33 40 36.7|19.82| 1.00| 100.5| 1.7| 0.33|0.02| 0.27|0.05|1.000|100.3|1.6| 0.27|0.05
Scl-0025|4B  |3288.571|01 00 56.58 -33 40 36.7|19.82| 1.00|  99.3| 4.2|     |    |     |    |     |     |   |     |
Scl-0026|20B |3286.629|01 00 55.27 -33 40 42.7|19.01| 1.13| 102.9| 3.2| 0.25|0.02| 0.32|0.05|1.000|106.2|1.2| 0.33|0.04
Scl-0026|1B  |4017.555|01 00 55.27 -33 40 42.7|19.01| 1.13| 106.8| 1.3| 0.35|0.03| 0.37|0.07|     |     |   |     |
Scl-0027|20B |3286.629|01 00 52.92 -33 40 44.3|19.60| 1.14| 117.5| 2.0| 0.36|0.02| 0.46|0.04|1.000|     |   |     |
Scl-0028|20B |3286.629|01 00 55.58 -33 41 02.3|19.79| 1.00| 103.5| 2.1| 0.32|0.02| 0.37|0.04|1.000|104.5|1.3| 0.45|0.04
Scl-0028|4B  |3288.571|01 00 55.58 -33 41 02.3|19.79| 1.00| 103.6| 2.3| 0.36|0.03| 0.65|0.07|     |     |   |     |
Scl-0028|1B  |4017.555|01 00 55.58 -33 41 02.3|19.79| 1.00| 107.0| 2.5| 0.37|0.11| 0.54|0.19|     |     |   |     |
Scl-0029|20B |3286.629|01 00 56.26 -33 41 31.9|19.38| 1.12| 114.6| 1.5| 0.30|0.03| 0.46|0.05|1.000|114.2|1.2| 0.47|0.04
