Target	Field	HJD	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Vmag	V-I	HV	e_HV	SigFe	e_SigFe	SigMg	e_SigMg	Mmb	<HV>	e_<HV>	<SigMg>	e_<SigMg>
---	---	d	h	min	s	---	deg	arcmin	arcsec	mag	mag	km/s	km/s	0.1nm	0.1nm	0.1nm	0.1nm	---	km/s	km/s	0.1nm	0.1nm
--------	----	--------	--	--	-----	-	--	--	----	-----	-----	------	----	-----	----	-----	----	-----	-----	---	-----	----
Car-0902	222B	3417.630	06	45	52.82	-	50	25	07.9	19.14	 1.09	  -1.5	 0.8	 0.43	0.02	 0.96	0.03	0.000	     	   	     	
Car-0903	222B	3417.630	06	45	48.24	-	50	26	05.1	18.68	 1.31	 118.8	 1.8	 0.38	0.02	 0.89	0.03	0.000	     	   	     	
Car-0904	222B	3417.630	06	45	46.21	-	50	27	58.5	19.66	 1.06	 177.8	 0.9	 0.39	0.02	 0.89	0.03	0.000	     	   	     	
Car-0905	222B	3417.630	06	45	55.21	-	50	28	07.6	20.16	 0.97	 195.7	 0.9	 0.38	0.03	 0.80	0.05	0.000	     	   	     	
Car-0906	222B	3417.630	06	45	59.41	-	50	29	51.0	19.93	 0.89	 119.4	 2.4	 0.38	0.05	 0.76	0.07	0.000	     	   	     	
Car-0907	222B	3417.630	06	45	59.25	-	50	24	12.0	20.18	 1.17	  79.2	 2.9	 0.19	0.04	 0.60	0.06	0.000	     	   	     	
Car-0908	222B	3417.630	06	46	00.65	-	50	24	45.5	20.65	 0.95	 175.0	 2.9	 0.31	0.05	 0.61	0.09	0.000	     	   	     	
Car-0909	222B	3417.630	06	45	59.27	-	50	25	16.9	18.07	 1.22	 123.8	 1.1	 0.34	0.02	 0.94	0.02	0.000	     	   	     	
Car-0910	222B	3417.630	06	46	02.23	-	50	25	31.6	20.02	 1.28	  68.8	 2.8	 0.31	0.05	 0.71	0.10	0.000	     	   	     	
Car-0911	222B	3417.630	06	45	57.14	-	50	26	26.8	18.71	 1.16	 108.0	 0.7	 0.42	0.02	 0.92	0.02	0.000	     	   	     	
Car-0912	222B	3417.630	06	46	03.52	-	50	26	44.0	19.45	 1.04	 114.6	 0.6	 0.38	0.02	 0.76	0.04	0.000	     	   	     	
Car-0913	222B	3417.630	06	46	01.27	-	50	27	46.8	19.14	 1.04	 109.9	 0.7	 0.35	0.02	 0.86	0.03	0.000	     	   	     	
Car-0914	222B	3417.630	06	45	52.65	-	50	36	18.3	20.21	 0.80	 158.8	 2.4	 0.39	0.05	 0.62	0.09	0.000	     	   	     	
Car-0915	222B	3417.630	06	45	49.93	-	50	35	55.8	20.65	 1.17	  74.7	 3.6	     	    	     	    	0.000	     	   	     	
Car-0916	222B	3417.630	06	45	54.25	-	50	33	03.6	20.13	 0.88	 394.2	 4.4	 0.26	0.05	 0.06	0.13	0.000	     	   	     	
Car-0917	222B	3417.630	06	45	51.19	-	50	31	18.7	18.59	 1.38	  29.2	 1.7	 0.37	0.02	 0.97	0.03	0.000	     	   	     	
Car-0918	222B	3417.630	06	45	47.16	-	50	30	14.7	19.57	 1.17	  99.5	 1.3	 0.42	0.04	 0.85	0.07	0.000	     	   	     	
Car-0919	222B	3417.630	06	45	41.82	-	50	28	49.2	19.93	 1.10	  52.4	 1.1	 0.43	0.04	 0.94	0.05	0.000	     	   	     	
Car-0920	26B 	3418.552	06	40	56.16	-	50	53	18.3	20.43	 0.83	 221.6	 5.4	 0.32	0.06	 0.32	0.14	1.000	216.7	1.9	 0.33	0.08
Car-0920	1B  	4560.511	06	40	56.16	-	50	53	18.3	20.43	 0.83	 216.1	 2.0	 0.37	0.04	 0.34	0.10	     	     	   	     	
Car-0921	26B 	3418.552	06	40	28.07	-	50	54	09.0	19.79	 0.94	 220.4	 4.2	 0.25	0.05	 0.33	0.12	1.000	     	   	     	
Car-0922	26B 	3418.552	06	40	49.56	-	50	53	35.5	20.59	 0.86	 245.1	 5.2	 0.39	0.10	 0.22	0.25	0.994	     	   	     	
Car-0923	26B 	3418.552	06	40	19.21	-	50	52	38.0	20.34	 0.84	 206.9	 4.3	 0.52	0.08	 0.42	0.22	0.989	     	   	     	
Car-0924	26B 	3418.552	06	40	07.95	-	50	52	56.9	19.36	 1.10	 233.7	 1.8	 0.34	0.04	 0.45	0.09	0.999	     	   	     	
Car-0925	26B 	3418.552	06	40	09.94	-	50	50	08.6	20.28	 0.82	  70.8	 4.5	 0.37	0.09	 0.69	0.14	0.000	     	   	     	
Car-0926	26B 	3418.552	06	40	07.16	-	50	49	24.9	18.65	 1.97	  -5.7	 3.6	 0.35	0.04	 0.70	0.08	0.000	     	   	     	
Car-0927	26B 	3418.552	06	40	07.80	-	50	42	07.8	19.60	 0.95	 -18.3	 3.0	 0.18	0.09	 1.01	0.07	0.000	     	   	     	
Car-0928	26B 	3418.552	06	40	22.33	-	50	46	22.6	19.23	 1.02	  38.9	 1.6	 0.40	0.04	 0.93	0.05	0.000	     	   	     	
Car-0929	26B 	3418.552	06	40	25.94	-	50	44	17.0	19.18	 1.20	  99.3	 2.5	 0.39	0.04	 0.89	0.07	0.000	     	   	     	
Car-0930	26B 	3418.552	06	40	33.94	-	50	46	02.2	20.15	 1.00	  50.3	 4.4	 0.57	0.11	 0.55	0.28	0.000	     	   	     	
Car-0931	26B 	3418.552	06	40	39.04	-	50	49	34.0	19.95	 1.08	 210.2	 3.2	 0.35	0.06	 0.31	0.13	1.000	     	   	     	
Car-0932	26B 	3418.552	06	40	35.61	-	50	49	27.1	19.82	 1.13	  70.1	 3.7	 0.48	0.09	 0.55	0.22	0.000	     	   	     	
Car-0933	26B 	3418.552	06	40	31.16	-	50	50	27.6	19.78	 1.09	  44.5	 1.8	 0.46	0.06	 0.76	0.11	0.000	     	   	     	
Car-0934	26B 	3418.552	06	40	42.21	-	50	41	33.8	20.26	 0.79	 235.3	 4.3	 0.34	0.07	 0.53	0.12	0.992	     	   	     	
Car-0935	26B 	3418.552	06	40	42.49	-	50	44	12.3	19.56	 0.91	 165.4	 3.7	 0.30	0.12	 0.78	0.13	0.000	     	   	     	
Car-0936	26B 	3418.552	06	40	46.27	-	50	45	54.2	19.49	 1.08	  47.1	 1.4	 0.39	0.08	 0.98	0.08	0.000	     	   	     	
Car-0937	26B 	3418.552	06	40	53.96	-	50	47	00.6	20.58	 0.98	 221.6	 5.4	 0.36	0.12	 0.65	0.19	0.994	     	   	     	
Car-0938	26B 	3418.552	06	40	44.63	-	50	51	42.1	20.70	 1.03	  50.8	 4.3	 0.37	0.11	 0.72	0.18	0.000	     	   	     	
Car-0939	26B 	3418.552	06	40	46.55	-	50	50	50.5	19.40	 1.05	 225.0	 1.4	 0.31	0.04	 0.45	0.09	1.000	     	   	     	
Car-0940	26B 	3418.552	06	40	50.40	-	50	47	42.9	20.48	 0.82	 138.2	 3.6	 0.51	0.09	 0.86	0.14	0.000	     	   	     	
Car-0941	26B 	3418.552	06	41	11.44	-	50	44	49.9	20.51	 0.97	  52.2	 5.5	 0.37	0.11	 0.29	0.26	0.000	     	   	     	
Car-0942	26B 	3418.552	06	41	13.31	-	50	47	28.2	20.04	 0.92	 219.3	 2.6	 0.33	0.04	 0.21	0.11	1.000	     	   	     	
Car-0943	26B 	3418.552	06	41	07.70	-	50	49	25.5	20.53	 0.79	 221.4	 4.6	 0.38	0.09	 0.37	0.21	1.000	     	   	     	
Car-0944	26B 	3418.552	06	41	06.41	-	50	49	54.9	20.50	 0.75	 220.6	 2.1	 0.36	0.06	 0.19	0.16	1.000	219.9	1.9	 0.19	0.16
Car-0944	1B  	4120.709	06	41	06.41	-	50	49	54.9	20.50	 0.75	 215.3	 5.6	     	    	     	    	     	     	   	     	
Car-0945	26B 	3418.552	06	41	07.38	-	50	50	24.2	20.10	 1.03	 217.9	 2.4	 0.37	0.06	 0.37	0.14	1.000	     	   	     	
Car-0946	26B 	3418.552	06	40	59.75	-	50	50	36.2	19.86	 0.81	 222.2	 3.5	 0.27	0.04	 0.26	0.09	1.000	     	   	     	
Car-0947	26B 	3418.552	06	40	58.67	-	50	49	40.4	20.42	 0.95	 216.8	 3.0	 0.29	0.07	 0.45	0.14	1.000	     	   	     	
Car-0948	26B 	3418.552	06	40	56.80	-	50	48	39.5	20.39	 1.03	  75.6	 3.7	 0.46	0.09	 0.79	0.14	0.000	     	   	     	
Car-0949	26B 	3418.552	06	40	52.08	-	50	53	12.6	20.71	 1.03	 219.8	 4.3	 0.24	0.11	 0.36	0.20	1.000	     	   	     	
Car-0950	26B 	3418.552	06	40	56.13	-	50	51	47.9	20.30	 0.94	 224.8	 3.6	 0.32	0.05	 0.47	0.11	1.000	     	   	     	
Car-0951	26B 	3418.552	06	40	39.52	-	50	45	24.8	20.36	 0.94	 -29.5	 3.2	 0.20	0.12	 0.48	0.21	0.000	     	   	     	
Car-0952	175B	3801.535	06	38	01.63	-	51	22	30.8	20.39	 0.69	 302.7	 6.0	 0.27	0.06	 0.34	0.12	0.000	     	   	     	
Car-0953	175B	3801.535	06	38	08.83	-	51	25	24.6	19.93	 0.71	 100.3	 0.9	 0.33	0.04	 0.64	0.06	0.000	     	   	     	
Car-0954	175B	3801.535	06	38	07.29	-	51	26	32.2	19.03	 0.91	  30.0	 0.4	 0.39	0.02	 0.81	0.04	0.000	     	   	     	
Car-0955	175B	3801.535	06	38	02.28	-	51	30	07.0	20.50	 0.87	  95.8	 2.0	 0.45	0.05	 0.81	0.09	0.000	     	   	     	
Car-0956	175B	3801.535	06	38	29.24	-	51	24	36.6	20.03	 1.23	 139.1	 4.1	 0.30	0.05	 0.96	0.07	0.000	     	   	     	
Car-0957	175B	3801.535	06	38	21.63	-	51	26	06.9	19.90	 0.73	  49.4	 0.7	 0.37	0.04	 0.72	0.07	0.000	     	   	     	
Car-0958	175B	3801.535	06	38	34.15	-	51	26	27.9	19.54	 1.08	  85.6	 2.4	 0.36	0.05	 1.10	0.04	0.000	     	   	     	
Car-0959	175B	3801.535	06	38	29.14	-	51	27	47.4	19.66	 0.88	  32.5	 0.8	 0.41	0.05	 1.07	0.05	0.000	     	   	     	
Car-0960	175B	3801.535	06	38	25.83	-	51	32	57.0	20.62	 0.88	 230.1	 4.4	 0.45	0.06	 0.02	0.20	0.996	     	   	     	
Car-0961	175B	3801.535	06	38	40.01	-	51	30	59.9	19.44	 0.99	  89.4	 0.8	 0.38	0.03	 0.87	0.04	0.000	     	   	     	
Car-0962	175B	3801.535	06	38	37.18	-	51	29	46.4	19.98	 0.87	  52.3	 1.2	 0.36	0.05	 0.90	0.06	0.000	     	   	     	
Car-0963	175B	3801.535	06	38	37.74	-	51	28	30.8	18.25	 1.10	 256.7	 2.5	 0.34	0.02	 0.88	0.02	0.000	     	   	     	
Car-0964	175B	3801.535	06	38	45.25	-	51	28	21.2	19.17	 1.00	  48.0	 0.9	 0.35	0.02	 0.91	0.03	0.000	     	   	     	
Car-0965	175B	3801.535	06	38	43.70	-	51	27	56.6	18.32	 1.49	  -1.8	 2.3	 0.33	0.02	 0.81	0.04	0.000	     	   	     	
Car-0966	175B	3801.535	06	38	14.52	-	51	30	58.8	20.14	 0.79	  92.2	 1.6	 0.43	0.04	 0.73	0.07	0.000	     	   	     	
Car-0967	175B	3801.535	06	38	07.08	-	51	31	02.7	18.37	 1.21	  40.3	 1.5	 0.43	0.02	 0.88	0.04	0.000	     	   	     	
Car-0968	175B	3801.535	06	38	11.68	-	51	19	44.0	18.74	 1.01	  55.9	 0.9	 0.41	0.03	 0.90	0.04	0.000	     	   	     	
Car-0969	175B	3801.535	06	38	22.77	-	51	21	21.7	19.15	 1.35	  65.4	 2.1	 0.38	0.03	 0.97	0.04	0.000	     	   	     	
Car-0970	175B	3801.535	06	38	27.69	-	51	21	35.1	17.93	 1.31	  17.9	 1.9	 0.34	0.02	 0.85	0.02	0.000	     	   	     	
Car-0971	175B	3801.535	06	38	41.61	-	51	23	31.3	19.39	 1.15	  42.3	 1.6	 0.42	0.03	 0.92	0.05	0.000	     	   	     	
Car-0972	175B	3801.535	06	38	37.21	-	51	24	22.1	20.43	 1.36	  16.0	 3.0	 0.19	0.12	 0.91	0.15	0.000	     	   	     	
Car-0973	175B	3801.535	06	38	38.93	-	51	17	03.7	18.79	 1.13	  44.3	 1.1	 0.44	0.02	 0.92	0.04	0.000	     	   	     	
Car-0974	175B	3801.535	06	38	38.57	-	51	19	37.8	19.36	 1.25	  88.1	 1.2	 0.37	0.03	 1.04	0.03	0.000	 86.2	0.8	 0.99	0.03
Car-0974	98B 	3803.601	06	38	38.57	-	51	19	37.8	19.36	 1.25	  87.2	 2.0	 0.37	0.04	 0.88	0.05	     	     	   	     	
Car-0974	98B 	4123.681	06	38	38.57	-	51	19	37.8	19.36	 1.25	  81.9	 1.6	     	    	     	    	     	     	   	     	
Car-0975	175B	3801.535	06	38	48.75	-	51	23	35.4	19.82	 1.27	 140.8	 4.1	 0.36	0.06	 0.74	0.12	0.000	     	   	     	
Car-0976	175B	3801.535	06	38	51.29	-	51	24	28.4	19.51	 1.15	  37.1	 1.3	 0.40	0.04	 1.00	0.05	0.000	     	   	     	
Car-0977	175B	3801.535	06	38	58.72	-	51	35	49.9	20.33	 0.93	-108.7	 5.3	     	    	 0.50	0.40	0.000	     	   	     	
Car-0978	175B	3801.535	06	39	06.87	-	51	35	33.3	18.09	 1.44	  72.8	 2.7	 0.35	0.05	 0.68	0.09	0.000	     	   	     	
Car-0979	175B	3801.535	06	38	57.66	-	51	34	40.1	18.84	 0.98	  16.1	 0.5	 0.38	0.05	 0.85	0.07	0.000	     	   	     	
Car-0980	175B	3801.535	06	39	07.75	-	51	31	39.5	19.95	 0.74	 209.4	 2.1	 0.36	0.06	 1.16	0.04	0.000	     	   	     	
Car-0981	175B	3801.535	06	38	54.25	-	51	30	02.9	18.47	 1.34	  87.1	 2.2	 0.37	0.03	 0.87	0.04	0.000	     	   	     	
Car-0982	175B	3801.535	06	38	39.73	-	51	32	17.0	20.39	 0.83	 216.0	 3.4	 0.40	0.15	 1.16	0.09	0.000	     	   	     	
Car-0983	175B	3801.535	06	38	50.80	-	51	29	37.2	19.31	 0.88	 122.6	 0.6	 0.37	0.02	 0.95	0.03	0.000	     	   	     	
Car-0984	175B	3801.535	06	38	50.12	-	51	27	03.4	19.20	 1.04	  89.4	 0.7	 0.41	0.02	 0.94	0.03	0.000	     	   	     	
Car-0985	175B	3801.535	06	38	43.92	-	51	16	41.8	18.71	 1.04	 107.4	 0.6	 0.39	0.02	 0.93	0.02	0.000	107.5	0.6	 0.92	0.02
Car-0985	98R 	3803.601	06	38	43.92	-	51	16	41.8	18.71	 1.04	 100.7	11.9	 0.41	0.06	 0.61	0.13	     	     	   	     	
Car-0985	98R 	4123.681	06	38	43.92	-	51	16	41.8	18.71	 1.04	 114.4	 4.6	     	    	     	    	     	     	   	     	
Car-0986	175B	3801.535	06	38	49.93	-	51	19	31.2	18.87	 1.54	  39.9	 2.2	 0.35	0.02	 0.88	0.03	0.000	 39.0	2.1	 0.86	0.03
Car-0986	98R 	3803.601	06	38	49.93	-	51	19	31.2	18.87	 1.54	  27.3	 8.2	 0.24	0.08	 0.71	0.12	     	     	   	     	
Car-0987	175B	3801.535	06	38	48.56	-	51	19	43.0	17.93	 1.49	 -11.9	 1.7	 0.39	0.02	 0.91	0.02	0.000	     	   	     	
Car-0988	175B	3801.535	06	38	49.37	-	51	20	01.4	17.94	 1.26	  41.0	 1.8	 0.34	0.02	 0.87	0.02	0.000	 41.2	1.4	 0.87	0.02
Car-0988	98R 	3803.601	06	38	49.37	-	51	20	01.4	17.94	 1.26	  48.1	 6.6	 0.36	0.05	 0.83	0.10	     	     	   	     	
Car-0988	98R 	4123.681	06	38	49.37	-	51	20	01.4	17.94	 1.26	  40.6	 2.4	     	    	     	    	     	     	   	     	
Car-0989	175B	3801.535	06	38	50.92	-	51	22	06.0	19.26	 1.15	  89.7	 1.0	 0.34	0.02	 0.90	0.03	0.000	     	   	     	
Car-0990	175B	3801.535	06	38	56.62	-	51	23	47.1	20.66	 1.09	  89.0	 5.3	 0.38	0.11	 0.55	0.20	0.000	     	   	     	
Car-0991	175B	3801.535	06	39	01.84	-	51	25	38.1	18.66	 1.13	 137.0	 1.6	 0.34	0.02	 0.95	0.03	0.000	     	   	     	
Car-0992	175B	3801.535	06	39	04.22	-	51	16	37.7	18.38	 1.41	  17.8	 2.8	 0.37	0.03	 0.84	0.05	0.000	 17.9	1.5	 0.86	0.03
Car-0992	98B 	3803.601	06	39	04.22	-	51	16	37.7	18.38	 1.41	  17.9	 2.4	 0.30	0.03	 0.87	0.04	     	     	   	     	
Car-0992	98B 	4123.681	06	39	04.22	-	51	16	37.7	18.38	 1.41	  18.1	 2.7	     	    	     	    	     	     	   	     	
Car-0993	175B	3801.535	06	38	57.82	-	51	21	02.4	19.23	 0.84	   9.3	 0.4	 0.33	0.02	 0.86	0.03	0.000	     	   	     	
Car-0994	175B	3801.535	06	39	07.84	-	51	21	35.2	20.48	 0.81	 178.6	 2.9	 0.31	0.05	 0.34	0.10	0.000	     	   	     	
Car-0995	175B	3801.535	06	39	07.64	-	51	22	55.5	20.14	 0.81	 126.6	 3.3	 0.16	0.06	 0.45	0.11	0.000	     	   	     	
Car-0996	175B	3801.535	06	39	02.97	-	51	23	30.2	18.40	 1.02	 104.7	 1.6	 0.39	0.02	 0.98	0.03	0.000	     	   	     	
Car-0997	175B	3801.535	06	39	25.14	-	51	35	12.8	17.67	 1.24	  26.0	 1.4	 0.40	0.02	 0.91	0.03	0.000	     	   	     	
Car-0998	175B	3801.535	06	39	26.07	-	51	32	38.5	19.10	 1.09	  81.9	 1.6	 0.35	0.04	 0.73	0.07	0.000	     	   	     	
Car-0999	175B	3801.535	06	39	31.49	-	51	30	35.9	19.42	 1.02	  72.4	 1.4	 0.37	0.05	 0.78	0.08	0.000	     	   	     	
Car-1000	175B	3801.535	06	39	26.36	-	51	27	38.4	17.41	 1.31	  31.4	 1.3	 0.38	0.01	 0.85	0.02	0.000	     	   	     	
Car-1001	175B	3801.535	06	39	20.52	-	51	35	25.1	19.48	 0.85	  80.4	 2.4	 0.36	0.04	 0.64	0.07	0.000	     	   	     	
Car-1002	175B	3801.535	06	39	19.85	-	51	33	32.2	20.31	 0.83	 200.9	 3.4	 0.23	0.07	 0.67	0.10	0.008	     	   	     	
Car-1003	175B	3801.535	06	39	20.99	-	51	31	54.3	19.84	 1.19	  12.1	 4.6	 0.33	0.07	 0.65	0.12	0.000	     	   	     	
Car-1004	175B	3801.535	06	39	12.97	-	51	28	34.3	19.89	 0.94	 210.3	 1.1	 0.36	0.04	 0.44	0.08	0.967	     	   	     	
Car-1005	175B	3801.535	06	39	10.27	-	51	26	59.7	17.62	 1.23	  98.1	 2.5	 0.34	0.01	 0.85	0.02	0.000	     	   	     	
Car-1006	175B	3801.535	06	39	12.59	-	51	18	46.1	17.53	 1.45	  27.3	 2.3	 0.33	0.01	 0.84	0.02	0.000	 34.3	1.1	 0.84	0.01
Car-1006	98B 	3803.601	06	39	12.59	-	51	18	46.1	17.53	 1.45	  27.3	 2.3	 0.35	0.01	 0.84	0.02	     	     	   	     	
Car-1006	98B 	4123.681	06	39	12.59	-	51	18	46.1	17.53	 1.45	  39.1	 1.4	     	    	     	    	     	     	   	     	
Car-1007	175B	3801.535	06	39	18.77	-	51	23	42.8	19.08	 0.93	   0.1	 0.6	 0.46	0.03	 0.92	0.04	0.000	     	   	     	
Car-1008	175B	3801.535	06	39	20.37	-	51	25	54.2	18.82	 1.23	  58.2	 1.2	 0.39	0.03	 0.93	0.04	0.000	     	   	     	
Car-1009	175B	3801.535	06	39	40.30	-	51	19	54.0	19.60	 1.09	 217.7	 3.3	 0.28	0.04	 0.22	0.09	1.000	     	   	     	
Car-1010	175B	3801.535	06	39	43.71	-	51	23	07.5	18.60	 1.22	 218.9	 1.4	 0.32	0.02	 0.43	0.05	0.998	     	   	     	
Car-1011	175B	3801.535	06	39	56.91	-	51	28	36.8	19.32	 1.16	 148.8	 1.9	 0.45	0.05	 0.95	0.06	0.000	     	   	     	
Car-1012	175B	3801.535	06	40	01.01	-	51	27	45.7	20.69	 1.07	 161.5	 2.7	     	    	 0.30	0.09	0.000	     	   	     	
Car-1013	175B	3801.535	06	39	49.93	-	51	26	46.4	19.30	 0.99	  64.3	 1.1	 0.33	0.04	 0.91	0.04	0.000	     	   	     	
Car-1014	175B	3801.535	06	39	57.30	-	51	26	04.7	18.08	 1.43	   4.4	 2.0	 0.37	0.03	 0.82	0.05	0.000	     	   	     	
Car-1015	175B	3801.535	06	39	52.88	-	51	25	21.9	20.61	 0.99	 223.2	 4.9	     	    	     	    	0.864	     	   	     	
Car-1016	175B	3801.535	06	39	46.71	-	51	24	56.0	18.16	 1.19	   4.0	 1.4	 0.44	0.02	 1.00	0.03	0.000	     	   	     	
Car-1017	175B	3801.535	06	39	44.03	-	51	32	54.1	18.58	 1.10	  38.0	 1.0	 0.47	0.04	 1.34	0.02	0.000	     	   	     	
Car-1018	175B	3801.535	06	39	41.88	-	51	31	34.2	20.43	 1.06	 132.1	 3.4	     	    	     	    	0.000	     	   	     	
Car-1019	175B	3801.535	06	39	32.50	-	51	24	47.0	20.41	 0.77	 158.5	 2.0	     	    	 0.40	0.46	0.000	     	   	     	
Car-1020	175R	3801.535	06	38	21.53	-	51	19	07.5	18.46	 1.18	   3.4	 2.9	 0.34	0.06	 0.88	0.10	0.000	  6.1	0.9	 0.97	0.04
Car-1020	98B 	3803.601	06	38	21.53	-	51	19	07.5	18.46	 1.18	   5.4	 1.6	 0.34	0.04	 0.99	0.05	     	     	   	     	
Car-1020	98B 	4123.681	06	38	21.53	-	51	19	07.5	18.46	 1.18	   7.0	 1.2	     	    	     	    	     	     	   	     	
Car-1021	175R	3801.535	06	39	01.47	-	51	17	41.5	18.85	 0.96	  83.1	 2.4	 0.33	0.04	 0.76	0.10	0.000	 81.5	0.3	 0.82	0.03
Car-1021	98B 	3803.601	06	39	01.47	-	51	17	41.5	18.85	 0.96	  82.2	 0.5	 0.41	0.02	 0.82	0.03	     	     	   	     	
Car-1021	98B 	4123.681	06	39	01.47	-	51	17	41.5	18.85	 0.96	  80.7	 0.5	     	    	     	    	     	     	   	     	
Car-1022	175R	3801.535	06	38	14.00	-	51	22	03.8	18.64	 1.08	  10.4	 3.5	 0.37	0.06	 0.99	0.10	0.000	     	   	     	
Car-1023	175R	3801.535	06	38	14.47	-	51	22	45.4	17.55	 1.27	  30.6	 2.3	 0.34	0.03	 0.79	0.09	0.000	     	   	     	
Car-1024	175R	3801.535	06	38	16.18	-	51	24	41.2	19.25	 0.93	 200.1	 8.0	 0.32	0.06	 0.79	0.11	0.003	     	   	     	
Car-1025	175R	3801.535	06	38	25.02	-	51	25	37.1	17.97	 1.26	  37.6	 2.5	 0.32	0.02	 0.39	0.08	0.000	     	   	     	
Car-1026	175R	3801.535	06	38	19.31	-	51	25	42.3	18.39	 1.05	  60.5	 6.9	 0.32	0.06	 0.76	0.11	0.000	     	   	     	
Car-1027	175R	3801.535	06	38	21.85	-	51	23	13.7	19.43	 0.99	  52.5	 4.7	 0.36	0.06	 0.82	0.11	0.000	     	   	     	
Car-1028	175R	3801.535	06	38	07.11	-	51	31	58.2	19.14	 0.95	 107.7	10.3	 0.46	0.06	 0.58	0.14	0.000	     	   	     	
Car-1029	175R	3801.535	06	38	04.40	-	51	28	46.5	17.85	 1.50	  46.4	 5.5	 0.26	0.04	 0.74	0.09	0.000	     	   	     	
Car-1030	175R	3801.535	06	38	40.69	-	51	17	04.5	18.75	 1.21	 105.7	 5.9	 0.33	0.06	 0.67	0.10	0.000	     	   	     	
Car-1031	175R	3801.535	06	38	38.00	-	51	18	55.2	18.03	 1.14	 114.4	 5.5	 0.26	0.05	 0.74	0.10	0.000	     	   	     	
Car-1032	175R	3801.535	06	38	44.92	-	51	22	52.7	19.98	 0.79	  37.7	10.1	     	    	     	    	0.000	     	   	     	
Car-1033	175R	3801.535	06	38	55.40	-	51	22	00.4	19.35	 1.08	 102.8	 4.4	 0.34	0.08	 0.77	0.12	0.000	     	   	     	
Car-1034	175R	3801.535	06	38	52.36	-	51	31	21.1	19.38	 0.82	  96.6	 8.2	 0.44	0.07	 0.81	0.12	0.000	     	   	     	
Car-1035	175R	3801.535	06	38	43.07	-	51	30	58.7	18.75	 1.18	  62.3	 8.5	 0.37	0.06	 0.62	0.11	0.000	     	   	     	
Car-1036	175R	3801.535	06	38	19.49	-	51	32	36.6	19.18	 1.35	  28.4	 9.5	 0.34	0.08	 0.87	0.11	0.000	     	   	     	
Car-1037	175R	3801.535	06	38	21.22	-	51	26	40.2	19.16	 1.12	  69.4	 5.6	 0.32	0.06	 0.66	0.12	0.000	     	   	     	
Car-1038	175R	3801.535	06	39	18.64	-	51	17	28.6	18.37	 1.40	  26.8	 4.3	 0.28	0.04	 0.78	0.10	0.000	 35.9	1.8	 0.73	0.07
Car-1038	98R 	3803.601	06	39	18.64	-	51	17	28.6	18.37	 1.40	  30.1	 5.2	 0.32	0.04	 0.68	0.10	     	     	   	     	
Car-1038	98R 	4123.681	06	39	18.64	-	51	17	28.6	18.37	 1.40	  39.2	 2.2	     	    	     	    	     	     	   	     	
Car-1039	175R	3801.535	06	39	19.53	-	51	21	31.2	17.67	 1.22	  19.5	 1.6	 0.39	0.03	 0.84	0.09	0.000	     	   	     	
Car-1040	175R	3801.535	06	39	42.15	-	51	20	14.8	18.82	 1.04	 168.8	10.3	 0.23	0.05	 0.92	0.10	0.000	     	   	     	
Car-1041	175R	3801.535	06	39	50.15	-	51	22	18.7	18.73	 1.09	  98.5	 6.9	 0.31	0.05	 0.85	0.10	0.000	     	   	     	
Car-1042	175R	3801.535	06	39	28.66	-	51	32	39.1	18.51	 1.14	 241.0	 6.8	 0.28	0.05	 0.34	0.10	0.989	     	   	     	
Car-1043	175R	3801.535	06	39	33.35	-	51	32	26.3	18.64	 1.17	 133.9	 9.1	 0.28	0.06	 0.67	0.11	0.000	     	   	     	
Car-1044	175R	3801.535	06	39	26.54	-	51	28	41.1	18.60	 1.38	  22.0	 7.0	 0.33	0.05	 0.71	0.11	0.000	     	   	     	
Car-1045	175R	3801.535	06	39	25.67	-	51	28	13.0	18.99	 0.90	  33.1	 3.0	 0.35	0.05	 0.82	0.10	0.000	     	   	     	
Car-1046	175R	3801.535	06	38	56.24	-	51	33	17.1	19.66	 0.81	 112.6	11.2	 0.30	0.09	 0.65	0.14	0.000	     	   	     	
Car-1047	175R	3801.535	06	38	56.02	-	51	31	38.9	19.05	 0.90	 235.9	 6.2	 0.35	0.05	 0.79	0.10	0.013	     	   	     	
Car-1048	175R	3801.535	06	39	07.41	-	51	28	50.7	17.53	 1.56	  16.9	 3.1	 0.32	0.02	 0.70	0.09	0.000	     	   	     	
Car-1049	175R	3801.535	06	39	59.30	-	51	28	24.6	19.11	 1.32	  21.0	 5.5	 0.48	0.05	 0.74	0.12	0.000	     	   	     	
Car-1050	175R	3801.535	06	40	00.29	-	51	26	44.8	18.40	 1.27	  23.6	 8.0	 0.37	0.04	 0.73	0.10	0.000	     	   	     	
Car-1051	175R	3801.535	06	39	54.58	-	51	25	46.3	17.98	 1.03	  17.2	 3.5	 0.34	0.04	 0.72	0.10	0.000	     	   	     	
Car-1052	175R	3801.535	06	39	50.55	-	51	24	04.4	17.34	 1.30	   4.2	 6.0	 0.38	0.04	 0.59	0.10	0.000	     	   	     	
Car-1053	175R	3801.535	06	39	38.59	-	51	28	23.0	17.74	 1.24	  12.4	 2.1	 0.34	0.03	 0.83	0.09	0.000	     	   	     	
