#Table: J/AJ/137/3100/table5.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
Sex-0107|1B  |3089.738|10 13 03.13 -01 35 39.0|19.40| 0.97| 220.5| 2.1| 0.39|0.04| 0.33|0.09|1.000|221.4|1.7| 0.35|0.07
Sex-0107|1R  |3411.775|10 13 03.13 -01 35 39.0|19.40| 0.97| 225.9| 4.5| 0.38|0.05| 0.37|0.12|     |     |   |     |
Sex-0107|1R  |4122.822|10 13 03.13 -01 35 39.0|19.40| 0.97| 221.3| 4.6|     |    |     |    |     |     |   |     |
Sex-0108|1B  |3089.738|10 12 48.21 -01 42 23.5|19.44| 0.85| 196.5| 4.7| 0.44|0.08| 0.65|0.17|0.000|200.2|0.7| 0.86|0.04
Sex-0108|5B  |3091.698|10 12 48.21 -01 42 23.5|19.44| 0.85| 202.3| 2.0| 0.42|0.04| 0.87|0.05|     |     |   |     |
Sex-0108|1R  |3411.775|10 12 48.21 -01 42 23.5|19.44| 0.85| 202.8| 6.2| 0.40|0.07| 1.02|0.11|     |     |   |     |
Sex-0108|5R  |3416.684|10 12 48.21 -01 42 23.5|19.44| 0.85| 202.4| 7.1| 0.38|0.06| 0.75|0.11|     |     |   |     |
Sex-0108|1B  |4122.822|10 12 48.21 -01 42 23.5|19.44| 0.85| 199.9| 0.8|     |    |     |    |     |     |   |     |
Sex-0109|1B  |3089.738|10 12 49.33 -01 42 17.9|18.70| 1.05| 214.4| 3.5| 0.19|0.05| 0.23|0.10|0.999|216.0|0.8| 0.34|0.03
Sex-0109|5B  |3091.698|10 12 49.33 -01 42 17.9|18.70| 1.05| 215.7| 0.9| 0.31|0.02| 0.36|0.04|     |     |   |     |
Sex-0109|1R  |3411.775|10 12 49.33 -01 42 17.9|18.70| 1.05| 217.9| 5.4| 0.38|0.03| 0.31|0.10|     |     |   |     |
Sex-0109|1B  |4122.822|10 12 49.33 -01 42 17.9|18.70| 1.05| 217.8| 1.9|     |    |     |    |     |     |   |     |
Sex-0110|1B  |3089.738|10 12 39.36 -01 36 13.3|19.79| 0.95| 220.1| 3.3|     |    |     |    |0.999|230.2|0.7| 0.29|0.05
Sex-0110|57B |3410.758|10 12 39.36 -01 36 13.3|19.79| 0.95| 229.8| 1.8| 0.38|0.05| 0.31|0.12|     |     |   |     |
Sex-0110|5B  |3416.684|10 12 39.36 -01 36 13.3|19.79| 0.95| 232.2| 0.9| 0.41|0.02| 0.29|0.06|     |     |   |     |
Sex-0110|1B  |4122.822|10 12 39.36 -01 36 13.3|19.79| 0.95| 227.0| 1.4|     |    |     |    |     |     |   |     |
Sex-0111|1B  |3089.738|10 12 47.83 -01 36 10.3|19.07| 1.04| 230.8| 2.1|     |    |     |    |1.000|225.7|0.7| 0.38|0.07
Sex-0111|57R |3410.758|10 12 47.83 -01 36 10.3|19.07| 1.04| 227.9| 9.0| 0.29|0.07| 0.30|0.14|     |     |   |     |
Sex-0111|1R  |3411.775|10 12 47.83 -01 36 10.3|19.07| 1.04| 228.5| 4.0| 0.34|0.05| 0.39|0.11|     |     |   |     |
Sex-0111|5R  |3416.684|10 12 47.83 -01 36 10.3|19.07| 1.04| 232.2| 6.6| 0.34|0.05| 0.42|0.11|     |     |   |     |
Sex-0111|1B  |4122.822|10 12 47.83 -01 36 10.3|19.07| 1.04| 224.8| 0.8|     |    |     |    |     |     |   |     |
Sex-0112|1R  |3089.738|10 13 12.40 -01 42 08.3|18.20| 1.16| 239.6| 5.8| 0.38|0.02| 0.26|0.08|0.995|242.8|0.7| 0.30|0.06
Sex-0112|1R  |3411.775|10 13 12.40 -01 42 08.3|18.20| 1.16| 243.8| 1.9| 0.36|0.02| 0.33|0.08|     |     |   |     |
Sex-0112|1B  |4122.822|10 13 12.40 -01 42 08.3|18.20| 1.16| 242.7| 0.7|     |    |     |    |     |     |   |     |
Sex-0113|1R  |3089.738|10 13 03.10 -01 42 14.1|18.45| 1.06| 222.8|10.4| 0.32|0.04| 0.20|0.10|1.000|224.8|1.2| 0.27|0.06
Sex-0113|5B  |3091.698|10 13 03.10 -01 42 14.1|18.45| 1.06| 224.8| 1.2| 0.40|0.03| 0.31|0.08|     |     |   |     |
Sex-0114|1R  |3089.738|10 13 36.58 -01 33 17.6|20.33| 0.74| -13.6|10.2|     |    | 0.53|0.16|0.000|     |   |     |
Sex-0115|1R  |3089.738|10 13 16.72 -01 39 56.7|19.14| 1.06| 221.0|10.0| 0.30|0.07| 0.65|0.11|0.997|221.8|6.2| 0.48|0.07
Sex-0115|1R  |3411.775|10 13 16.72 -01 39 56.7|19.14| 1.06| 222.2| 7.9| 0.40|0.04| 0.32|0.10|     |     |   |     |
Sex-0116|1R  |3089.738|10 13 18.76 -01 31 13.8|18.19| 1.18| 217.2| 3.7| 0.34|0.02| 0.40|0.08|0.998|217.2|2.4| 0.42|0.06
Sex-0116|57R |3410.758|10 13 18.76 -01 31 13.8|18.19| 1.18| 217.3| 3.1| 0.29|0.03| 0.43|0.09|     |     |   |     |
Sex-0117|1R  |3089.738|10 13 22.90 -01 28 34.8|18.60| 0.76| 192.7| 5.0| 0.34|0.02| 0.66|0.09|0.000|195.8|1.5| 0.67|0.05
Sex-0117|7R  |3090.704|10 13 22.90 -01 28 34.8|18.60| 0.76| 201.8| 6.5| 0.21|0.04| 0.69|0.09|     |     |   |     |
Sex-0117|57R |3410.758|10 13 22.90 -01 28 34.8|18.60| 0.76| 197.5| 3.9| 0.25|0.07| 0.63|0.11|     |     |   |     |
Sex-0117|1R  |3411.775|10 13 22.90 -01 28 34.8|18.60| 0.76| 195.4| 1.8| 0.34|0.03| 0.68|0.09|     |     |   |     |
Sex-0118|1R  |3089.738|10 13 02.06 -01 42 46.3|20.41| 0.73| 125.3| 9.0|     |    | 0.24|0.35|0.000|     |   |     |
Sex-0119|1R  |3089.738|10 13 04.92 -01 39 12.8|17.94| 1.18| 223.6| 4.0| 0.40|0.03| 0.48|0.09|1.000|224.5|1.2| 0.42|0.04
Sex-0119|5R  |3091.698|10 13 04.92 -01 39 12.8|17.94| 1.18| 223.2| 2.5| 0.37|0.02| 0.43|0.08|     |     |   |     |
Sex-0119|1R  |3411.775|10 13 04.92 -01 39 12.8|17.94| 1.18| 223.5| 3.1| 0.35|0.03| 0.37|0.09|     |     |   |     |
Sex-0119|5R  |3416.684|10 13 04.92 -01 39 12.8|17.94| 1.18| 225.4| 1.6| 0.35|0.02| 0.38|0.08|     |     |   |     |
Sex-0120|1R  |3089.738|10 13 01.37 -01 38 26.6|18.67| 1.09| 239.2| 7.0| 0.38|0.03| 0.40|0.09|1.000|232.5|3.0| 0.39|0.06
Sex-0120|1R  |3411.775|10 13 01.37 -01 38 26.6|18.67| 1.09| 223.1| 4.4| 0.39|0.04| 0.40|0.10|     |     |   |     |
Sex-0120|5R  |3416.684|10 13 01.37 -01 38 26.6|18.67| 1.09| 227.9|11.4| 0.35|0.05| 0.34|0.12|     |     |   |     |
Sex-0120|1R  |4122.822|10 13 01.37 -01 38 26.6|18.67| 1.09| 245.7| 5.9|     |    |     |    |     |     |   |     |
Sex-0121|7B  |3090.704|10 13 58.30 -01 31 05.3|20.05| 0.96| 223.3| 4.9| 0.43|0.08|-0.02|0.23|0.996|     |   |     |
Sex-0122|7B  |3090.704|10 13 35.72 -01 31 44.9|19.86| 0.78| 221.4| 5.5| 0.31|0.05| 0.24|0.11|0.998|     |   |     |
Sex-0123|7B  |3090.704|10 13 37.26 -01 32 04.5|19.55| 0.93| 222.8| 2.0| 0.41|0.06| 0.59|0.12|0.974|     |   |     |
Sex-0124|7B  |3090.704|10 13 44.01 -01 32 17.3|20.26| 0.81| 217.2| 4.4| 0.41|0.09| 0.33|0.23|0.998|218.7|1.5| 0.24|0.11
Sex-0124|1B  |3411.775|10 13 44.01 -01 32 17.3|20.26| 0.81| 219.2| 2.0| 0.39|0.05| 0.22|0.12|     |     |   |     |
Sex-0124|1B  |4122.822|10 13 44.01 -01 32 17.3|20.26| 0.81| 218.5| 2.6|     |    |     |    |     |     |   |     |
Sex-0125|7B  |3090.704|10 13 46.12 -01 29 43.6|18.87| 0.95| 223.7| 2.5| 0.37|0.05| 0.37|0.13|0.999|222.1|0.8| 0.38|0.06
Sex-0125|6B  |3804.673|10 13 46.12 -01 29 43.6|18.87| 0.95| 220.0| 1.2| 0.30|0.03| 0.38|0.07|     |     |   |     |
Sex-0125|6B  |4124.814|10 13 46.12 -01 29 43.6|18.87| 0.95| 224.5| 1.4|     |    |     |    |     |     |   |     |
Sex-0126|7B  |3090.704|10 13 34.99 -01 29 50.0|19.82| 0.98| 226.5| 4.3| 0.35|0.05| 0.21|0.13|0.998|     |   |     |
Sex-0127|7B  |3090.704|10 14 22.31 -01 30 22.7|18.96| 1.02| 215.6| 3.4| 0.34|0.05| 0.40|0.12|0.980|     |   |     |
Sex-0128|7B  |3090.704|10 14 26.12 -01 29 12.6|     |     |  23.7| 2.6| 0.40|0.03| 0.81|0.06|0.000|     |   |     |
Sex-0129|7B  |3090.704|10 14 10.92 -01 21 04.8|     |     | 224.7| 3.0| 0.51|0.05| 0.33|0.14|0.994|223.5|2.0| 0.36|0.09
Sex-0129|54B |3803.716|10 14 10.92 -01 21 04.8|     |     | 222.6| 2.7| 0.33|0.05| 0.38|0.11|     |     |   |     |
Sex-0130|7B  |3090.704|10 14 08.86 -01 21 50.9|     |     | 223.7| 1.9| 0.29|0.03| 0.34|0.07|0.995|     |   |     |
Sex-0131|7B  |3090.704|10 14 09.01 -01 22 55.4|     |     | 289.0| 4.2| 0.29|0.05| 0.64|0.08|0.000|     |   |     |
Sex-0132|7B  |3090.704|10 14 01.53 -01 34 10.8|     |     |  17.3| 4.9| 0.43|0.14| 0.52|0.20|0.000|     |   |     |
Sex-0133|7B  |3090.704|10 14 01.52 -01 31 44.0|19.46| 1.01| 232.4| 4.5| 0.56|0.11| 0.16|0.27|0.991|     |   |     |
Sex-0134|7B  |3090.704|10 14 02.87 -01 28 19.0|     |     | 232.7| 1.6| 0.31|0.04| 0.57|0.07|0.715|     |   |     |
Sex-0135|7B  |3090.704|10 13 50.28 -01 28 01.1|18.31| 1.08| 140.5| 2.0| 0.35|0.02| 0.91|0.02|0.000|139.9|1.0| 0.89|0.02
Sex-0135|6B  |3804.673|10 13 50.28 -01 28 01.1|18.31| 1.08| 139.2| 1.6| 0.39|0.03| 0.79|0.05|     |     |   |     |
Sex-0135|6B  |4124.814|10 13 50.28 -01 28 01.1|18.31| 1.08| 140.1| 1.7|     |    |     |    |     |     |   |     |
Sex-0136|7B  |3090.704|10 13 51.13 -01 25 19.9|19.16| 0.97| 226.7| 3.9| 0.36|0.03| 0.29|0.08|0.997|225.6|3.6| 0.33|0.07
Sex-0136|6R  |3804.673|10 13 51.13 -01 25 19.9|19.16| 0.97| 218.9| 9.6| 0.38|0.05| 0.42|0.12|     |     |   |     |
Sex-0137|7B  |3090.704|10 13 55.11 -01 17 03.8|     |     | 216.2| 1.0| 0.42|0.01| 0.39|0.03|0.989|218.2|0.4| 0.42|0.02
Sex-0137|23B |3418.704|10 13 55.11 -01 17 03.8|     |     | 218.3| 0.6| 0.46|0.01| 0.44|0.02|     |     |   |     |
Sex-0137|54B |3803.716|10 13 55.11 -01 17 03.8|     |     | 219.2| 0.7| 0.41|0.01| 0.42|0.03|     |     |   |     |
Sex-0138|7B  |3090.704|10 13 54.50 -01 24 56.3|19.78| 1.00|  97.1| 1.1| 0.41|0.06| 1.07|0.07|0.000|     |   |     |
Sex-0139|7B  |3090.704|10 14 03.30 -01 17 44.0|     |     | -94.9| 4.0| 0.26|0.08| 0.22|0.18|0.000|     |   |     |
Sex-0140|7B  |3090.704|10 14 04.67 -01 23 46.6|18.27| 1.04| 246.7| 2.0| 0.36|0.02| 0.93|0.02|0.000|     |   |     |
Sex-0141|7B  |3090.704|10 14 06.88 -01 24 38.8|20.00| 0.95| 223.5| 3.4| 0.45|0.06| 0.36|0.15|0.989|     |   |     |
Sex-0142|7B  |3090.704|10 13 47.67 -01 28 51.8|20.32|     | 201.6| 3.5| 0.44|0.08| 0.78|0.16|0.105|     |   |     |
Sex-0143|7B  |3090.704|10 13 48.39 -01 26 17.3|20.00| 0.73| 154.3| 5.0| 0.39|0.07| 0.46|0.16|0.000|151.7|2.2| 0.47|0.10
Sex-0143|6B  |3804.673|10 13 48.39 -01 26 17.3|20.00| 0.73| 151.0| 2.5| 0.26|0.07| 0.48|0.13|     |     |   |     |
Sex-0144|7B  |3090.704|10 13 42.65 -01 27 38.0|20.44| 0.91| -23.0| 4.9| 0.52|0.08| 0.33|0.26|0.000|-18.5|3.5| 0.20|0.16
Sex-0144|6B  |3804.673|10 13 42.65 -01 27 38.0|20.44| 0.91| -13.9| 4.9| 0.26|0.08| 0.12|0.21|     |     |   |     |
Sex-0145|7B  |3090.704|10 13 45.78 -01 26 44.8|19.57| 0.92| 222.1| 1.9| 0.34|0.04| 0.42|0.09|0.995|220.0|1.1| 0.42|0.09
Sex-0145|6B  |4124.814|10 13 45.78 -01 26 44.8|19.57| 0.92| 218.7| 1.4|     |    |     |    |     |     |   |     |
Sex-0146|7B  |3090.704|10 13 46.50 -01 25 50.3|18.65| 1.09| 219.7| 1.1| 0.40|0.03| 0.31|0.06|0.998|219.8|1.0| 0.31|0.06
Sex-0146|6R  |4124.814|10 13 46.50 -01 25 50.3|18.65| 1.09| 220.5| 3.1|     |    |     |    |     |     |   |     |
Sex-0147|7B  |3090.704|10 13 34.53 -01 19 11.4|     |     | 231.5| 5.4| 0.38|0.05| 0.42|0.12|0.994|228.2|2.2| 0.38|0.06
Sex-0147|23B |3418.704|10 13 34.53 -01 19 11.4|     |     | 227.6| 2.4| 0.36|0.03| 0.37|0.07|     |     |   |     |
Sex-0148|7B  |3090.704|10 13 38.77 -01 20 00.0|     |     |  37.1| 1.1| 0.35|0.02| 0.88|0.03|0.000| 34.6|0.6| 0.92|0.02
Sex-0148|23B |3418.704|10 13 38.77 -01 20 00.0|     |     |  35.4| 1.2| 0.36|0.03| 0.98|0.04|     |     |   |     |
Sex-0148|6B  |3804.673|10 13 38.77 -01 20 00.0|     |     |  33.0| 1.6| 0.42|0.02| 0.92|0.04|     |     |   |     |
Sex-0148|6B  |4124.814|10 13 38.77 -01 20 00.0|     |     |  32.2| 1.1|     |    |     |    |     |     |   |     |
Sex-0149|7B  |3090.704|10 13 36.01 -01 20 42.7|     |     | 219.7| 1.2| 0.36|0.02| 0.33|0.05|0.997|220.5|0.6| 0.34|0.03
Sex-0149|23B |3418.704|10 13 36.01 -01 20 42.7|     |     | 220.0| 0.8| 0.31|0.02| 0.34|0.05|     |     |   |     |
Sex-0149|6R  |3804.673|10 13 36.01 -01 20 42.7|     |     | 213.0| 5.7| 0.36|0.04| 0.39|0.10|     |     |   |     |
Sex-0149|6R  |4124.814|10 13 36.01 -01 20 42.7|     |     | 227.7| 2.0|     |    |     |    |     |     |   |     |
Sex-0150|7B  |3090.704|10 13 41.22 -01 20 52.6|     |     | 208.2| 5.8| 0.27|0.05| 0.28|0.10|0.990|212.8|2.1| 0.30|0.05
Sex-0150|23B |3418.704|10 13 41.22 -01 20 52.6|     |     | 214.1| 4.9| 0.23|0.04| 0.34|0.08|     |     |   |     |
Sex-0150|6B  |3804.673|10 13 41.22 -01 20 52.6|     |     | 212.2| 3.5| 0.26|0.04| 0.26|0.10|     |     |   |     |
Sex-0150|6B  |4124.814|10 13 41.22 -01 20 52.6|     |     | 214.7| 3.6|     |    |     |    |     |     |   |     |
Sex-0151|7B  |3090.704|10 13 42.16 -01 24 39.2|19.91| 0.95| 226.1| 4.5| 0.44|0.05| 0.19|0.14|0.998|227.2|0.9| 0.31|0.06
Sex-0151|23B |3418.704|10 13 42.16 -01 24 39.2|19.91| 0.95| 232.2| 1.4| 0.34|0.03| 0.23|0.09|     |     |   |     |
Sex-0151|6B  |3804.673|10 13 42.16 -01 24 39.2|19.91| 0.95| 226.5| 1.7| 0.41|0.04| 0.46|0.10|     |     |   |     |
Sex-0151|6B  |4124.814|10 13 42.16 -01 24 39.2|19.91| 0.95| 222.5| 1.5|     |    |     |    |     |     |   |     |
Sex-0152|7B  |3090.704|10 13 38.54 -01 24 51.4|20.37| 0.92| 226.9| 4.4| 0.42|0.06| 0.25|0.16|0.997|225.5|2.3| 0.20|0.10
Sex-0152|23B |3418.704|10 13 38.54 -01 24 51.4|20.37| 0.92| 225.5| 4.3| 0.41|0.05| 0.06|0.16|     |     |   |     |
Sex-0152|6B  |3804.673|10 13 38.54 -01 24 51.4|20.37| 0.92| 224.8| 4.6| 0.29|0.09| 0.35|0.20|     |     |   |     |
Sex-0152|6B  |4124.814|10 13 38.54 -01 24 51.4|20.37| 0.92| 224.8| 4.8|     |    |     |    |     |     |   |     |
Sex-0153|7B  |3090.704|10 13 40.92 -01 26 22.4|19.52| 0.97| 145.4| 1.8| 0.27|0.05| 0.98|0.04|0.000|     |   |     |
Sex-0154|7B  |3090.704|10 13 45.22 -01 20 22.4|     |     | -21.3| 0.7| 0.38|0.03| 0.90|0.04|0.000|-21.0|0.5| 0.92|0.03
Sex-0154|6B  |3804.673|10 13 45.22 -01 20 22.4|     |     | -20.6| 0.9| 0.34|0.04| 0.95|0.04|     |     |   |     |
Sex-0154|6B  |4124.814|10 13 45.22 -01 20 22.4|     |     | -20.8| 3.2|     |    |     |    |     |     |   |     |
Sex-0155|7B  |3090.704|10 13 44.19 -01 24 11.4|19.12| 0.95| 226.4| 2.0| 0.32|0.03| 0.33|0.06|0.998|226.4|0.7| 0.30|0.04
Sex-0155|23B |3418.704|10 13 44.19 -01 24 11.4|19.12| 0.95| 223.4| 1.4| 0.37|0.03| 0.25|0.08|     |     |   |     |
Sex-0155|6B  |3804.673|10 13 44.19 -01 24 11.4|19.12| 0.95| 228.4| 1.5| 0.33|0.04| 0.31|0.09|     |     |   |     |
Sex-0155|6B  |4124.814|10 13 44.19 -01 24 11.4|19.12| 0.95| 227.1| 1.0|     |    |     |    |     |     |   |     |
Sex-0156|7B  |3090.704|10 13 36.29 -01 28 30.2|17.90| 0.95|  35.2| 0.5| 0.42|0.01| 0.92|0.02|0.000| 36.7|0.5| 0.92|0.02
Sex-0156|6R  |3804.673|10 13 36.29 -01 28 30.2|17.90| 0.95|  33.9| 2.2| 0.35|0.04| 0.82|0.10|     |     |   |     |
Sex-0156|6R  |4124.814|10 13 36.29 -01 28 30.2|17.90| 0.95|  42.5| 1.0|     |    |     |    |     |     |   |     |
Sex-0157|7B  |3090.704|10 13 33.53 -01 30 59.4|19.35| 1.03| 223.1| 2.4| 0.44|0.04| 0.37|0.09|0.999|222.1|1.6| 0.34|0.07
Sex-0157|1R  |3411.775|10 13 33.53 -01 30 59.4|19.35| 1.03| 227.3| 7.9| 0.32|0.05| 0.28|0.13|     |     |   |     |
Sex-0157|1R  |4122.822|10 13 33.53 -01 30 59.4|19.35| 1.03| 221.0| 2.1|     |    |     |    |     |     |   |     |
Sex-0158|7B  |3090.704|10 13 31.56 -01 28 43.0|20.12| 0.89| 225.3| 4.7| 0.42|0.05| 0.32|0.12|0.997|223.5|2.5| 0.41|0.10
Sex-0158|6B  |3804.673|10 13 31.56 -01 28 43.0|20.12| 0.89| 219.7| 5.6| 0.34|0.09| 0.59|0.17|     |     |   |     |
Sex-0158|1B  |4122.822|10 13 31.56 -01 28 43.0|20.12| 0.89| 223.9| 3.6|     |    |     |    |     |     |   |     |
Sex-0159|7B  |3090.704|10 13 29.52 -01 27 17.1|20.15|     | 164.8| 3.6| 0.26|0.05| 0.48|0.09|0.000|167.4|3.0| 0.48|0.09
Sex-0159|6B  |4124.814|10 13 29.52 -01 27 17.1|20.15|     | 172.7| 5.2|     |    |     |    |     |     |   |     |
Sex-0160|7B  |3090.704|10 13 22.95 -01 22 27.1|     |     | 224.2| 1.3|     |    |     |    |0.997|226.6|0.4| 0.40|0.02
Sex-0160|23B |3418.704|10 13 22.95 -01 22 27.1|     |     | 226.8| 0.7| 0.38|0.01| 0.39|0.02|     |     |   |     |
Sex-0160|6B  |3804.673|10 13 22.95 -01 22 27.1|     |     | 226.0| 0.8| 0.38|0.02| 0.43|0.04|     |     |   |     |
Sex-0160|6B  |4124.814|10 13 22.95 -01 22 27.1|     |     | 228.1| 0.8|     |    |     |    |     |     |   |     |
Sex-0161|7B  |3090.704|10 13 28.56 -01 20 57.9|     |     | 167.6| 2.2| 0.29|0.05| 0.55|0.10|0.000|166.0|1.0| 0.76|0.05
Sex-0161|23B |3418.704|10 13 28.56 -01 20 57.9|     |     | 165.6| 1.1| 0.38|0.04| 0.83|0.06|     |     |   |     |
Sex-0162|7B  |3090.704|10 13 32.39 -01 22 12.9|     |     |  94.0| 3.3| 0.31|0.03| 0.87|0.04|0.000| 96.7|1.5| 0.87|0.02
Sex-0162|23B |3418.704|10 13 32.39 -01 22 12.9|     |     |  93.3| 2.5| 0.33|0.02| 0.88|0.03|     |     |   |     |
Sex-0162|6R  |3804.673|10 13 32.39 -01 22 12.9|     |     |  95.4| 4.8| 0.34|0.05| 0.74|0.10|     |     |   |     |
Sex-0162|6R  |4124.814|10 13 32.39 -01 22 12.9|     |     | 103.3| 2.8|     |    |     |    |     |     |   |     |
Sex-0163|7R  |3090.704|10 13 21.74 -01 26 20.6|18.65| 1.08| 231.3| 8.0| 0.37|0.04| 0.43|0.09|0.999|229.2|0.6| 0.39|0.03
Sex-0163|57R |3410.758|10 13 21.74 -01 26 20.6|18.65| 1.08| 230.1| 2.6| 0.41|0.05| 0.31|0.13|     |     |   |     |
Sex-0163|23B |3418.704|10 13 21.74 -01 26 20.6|18.65| 1.08| 228.1| 1.1| 0.35|0.02| 0.40|0.04|     |     |   |     |
Sex-0163|6B  |3804.673|10 13 21.74 -01 26 20.6|18.65| 1.08| 229.2| 1.3| 0.39|0.03| 0.35|0.08|     |     |   |     |
Sex-0163|6B  |4124.814|10 13 21.74 -01 26 20.6|18.65| 1.08| 229.8| 0.9|     |    |     |    |     |     |   |     |
Sex-0164|5B  |3091.698|10 12 29.46 -01 33 36.9|     |     |  89.7| 5.7|     |    |     |    |0.000|     |   |     |
Sex-0165|5B  |3091.698|10 13 06.88 -01 41 51.0|18.06| 1.12| -46.9| 1.7| 0.37|0.02| 0.91|0.02|0.000|-48.0|1.0| 0.90|0.02
Sex-0165|5R  |3416.684|10 13 06.88 -01 41 51.0|18.06| 1.12| -47.7| 2.2| 0.34|0.03| 0.86|0.10|     |     |   |     |
Sex-0165|1B  |4122.822|10 13 06.88 -01 41 51.0|18.06| 1.12| -48.9| 1.5|     |    |     |    |     |     |   |     |
Sex-0166|5B  |3091.698|10 12 43.86 -01 42 03.0|19.85| 0.79| 223.2| 2.6| 0.31|0.05| 0.40|0.09|0.999|226.4|2.0| 0.33|0.06
Sex-0166|5B  |3416.684|10 12 43.86 -01 42 03.0|19.85| 0.79| 230.9| 3.1| 0.29|0.04| 0.27|0.08|     |     |   |     |
Sex-0167|5B  |3091.698|10 13 02.07 -01 44 36.3|20.18| 0.67| 222.2| 2.8| 0.29|0.06| 0.59|0.09|0.899|226.1|1.1| 0.60|0.07
Sex-0167|5B  |3416.684|10 13 02.07 -01 44 36.3|20.18| 0.67| 230.6| 2.9| 0.30|0.06| 0.61|0.10|     |     |   |     |
Sex-0167|1B  |4122.822|10 13 02.07 -01 44 36.3|20.18| 0.67| 226.1| 1.4|     |    |     |    |     |     |   |     |
Sex-0168|5B  |3091.698|10 12 51.56 -01 37 55.3|20.35| 0.74| 232.9| 5.8| 0.30|0.07| 0.35|0.16|1.000|225.4|2.6| 0.23|0.07
Sex-0168|1B  |3411.775|10 12 51.56 -01 37 55.3|20.35| 0.74| 220.6| 3.6| 0.31|0.06| 0.34|0.14|     |     |   |     |
Sex-0168|5B  |3416.684|10 12 51.56 -01 37 55.3|20.35| 0.74| 228.5| 4.6| 0.30|0.04| 0.14|0.10|     |     |   |     |
Sex-0169|5B  |3091.698|10 13 05.69 -01 40 46.7|20.01| 0.80| 272.2| 4.0| 0.26|0.06| 1.01|0.05|0.000|266.1|1.5| 0.95|0.04
Sex-0169|5B  |3416.684|10 13 05.69 -01 40 46.7|20.01| 0.80| 265.1| 1.6| 0.36|0.04| 0.89|0.05|     |     |   |     |
Sex-0170|5B  |3091.698|10 12 53.89 -01 45 27.1|18.96| 1.02| 229.9| 1.1| 0.33|0.03| 0.44|0.07|0.999|229.2|0.9| 0.41|0.05
Sex-0170|12R |3408.709|10 12 53.89 -01 45 27.1|18.96| 1.02| 226.0| 2.5| 0.35|0.02| 0.41|0.08|     |     |   |     |
Sex-0170|5R  |3416.684|10 12 53.89 -01 45 27.1|18.96| 1.02| 227.7| 3.6| 0.36|0.07| 0.33|0.13|     |     |   |     |
Sex-0171|5B  |3091.698|10 12 53.72 -01 45 02.9|19.76| 0.95| 225.9| 1.5| 0.43|0.05| 0.46|0.16|0.986|228.2|1.3| 0.59|0.13
Sex-0171|1R  |3411.775|10 12 53.72 -01 45 02.9|19.76| 0.95| 226.1| 9.8| 0.58|0.17| 0.88|0.23|     |     |   |     |
Sex-0171|1B  |4122.822|10 12 53.72 -01 45 02.9|19.76| 0.95| 238.1| 3.0|     |    |     |    |     |     |   |     |
Sex-0172|5B  |3091.698|10 12 48.61 -01 36 56.5|18.68| 1.11| 226.3| 2.0| 0.38|0.03| 0.44|0.07|0.999|227.3|0.5| 0.42|0.05
Sex-0172|57R |3410.758|10 12 48.61 -01 36 56.5|18.68| 1.11| 225.9| 3.6| 0.27|0.09| 0.43|0.14|     |     |   |     |
Sex-0172|1R  |3411.775|10 12 48.61 -01 36 56.5|18.68| 1.11| 225.5| 2.2| 0.36|0.03| 0.40|0.09|     |     |   |     |
Sex-0172|5R  |3416.684|10 12 48.61 -01 36 56.5|18.68| 1.11| 226.2| 3.7| 0.43|0.03| 0.40|0.09|     |     |   |     |
Sex-0172|1B  |4122.822|10 12 48.61 -01 36 56.5|18.68| 1.11| 227.5| 0.6|     |    |     |    |     |     |   |     |
Sex-0173|5B  |3091.698|10 12 43.51 -01 43 06.6|18.81| 1.05| 220.8| 1.0| 0.36|0.02| 0.39|0.04|0.999|220.8|0.9| 0.38|0.04
Sex-0173|5R  |3416.684|10 12 43.51 -01 43 06.6|18.81| 1.05| 216.4| 4.4| 0.35|0.04| 0.32|0.10|     |     |   |     |
Sex-0173|1R  |4122.822|10 12 43.51 -01 43 06.6|18.81| 1.05| 226.0| 6.6|     |    |     |    |     |     |   |     |
Sex-0174|5B  |3091.698|10 12 44.70 -01 42 48.9|18.93| 1.17| 234.4| 4.5| 0.28|0.04| 0.00|0.09|0.986|233.4|3.0| 0.00|0.09
Sex-0174|1B  |4122.822|10 12 44.70 -01 42 48.9|18.93| 1.17| 232.6| 4.0|     |    |     |    |     |     |   |     |
Sex-0175|5B  |3091.698|10 12 37.04 -01 45 26.9|18.52| 1.27|  22.4| 2.4| 0.41|0.03| 0.76|0.06|0.000| 22.5|2.1| 0.77|0.05
Sex-0175|5R  |3416.684|10 12 37.04 -01 45 26.9|18.52| 1.27|  22.9| 4.5| 0.37|0.04| 0.82|0.10|     |     |   |     |
Sex-0176|5B  |3091.698|10 12 37.72 -01 44 15.0|19.81| 0.98| 225.9| 3.1| 0.33|0.04| 0.25|0.11|0.999|226.1|2.5| 0.30|0.07
