#Table: J/AJ/137/3100/table5.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
Sex-0025|1B  |4122.822|10 13 42.27 -01 31 24.7|18.70| 1.09| 221.2| 0.9|     |    |     |    |     |     |   |     |
Sex-0026|8B  |3086.796|10 13 38.67 -01 40 45.9|18.83| 1.06| 218.8| 2.8| 0.31|0.03| 0.38|0.07|1.000|221.5|0.8| 0.34|0.04
Sex-0026|1B  |3089.738|10 13 38.67 -01 40 45.9|18.83| 1.06| 220.7| 1.3| 0.34|0.02| 0.36|0.05|     |     |   |     |
Sex-0026|15B |3417.761|10 13 38.67 -01 40 45.9|18.83| 1.06| 221.9| 1.6| 0.33|0.03| 0.27|0.06|     |     |   |     |
Sex-0026|1B  |4122.822|10 13 38.67 -01 40 45.9|18.83| 1.06| 222.9| 1.5|     |    |     |    |     |     |   |     |
Sex-0027|8B  |3086.796|10 13 30.59 -01 41 35.3|19.19| 0.98|  74.7| 3.3| 0.17|0.09| 1.02|0.08|0.000| 79.5|1.0| 0.96|0.03
Sex-0027|1B  |3089.738|10 13 30.59 -01 41 35.3|19.19| 0.98|  80.6| 1.2| 0.43|0.03| 0.97|0.04|     |     |   |     |
Sex-0027|1R  |3411.775|10 13 30.59 -01 41 35.3|19.19| 0.98|  78.2| 1.9| 0.46|0.05| 0.81|0.11|     |     |   |     |
Sex-0028|8B  |3086.796|10 13 27.49 -01 36 27.3|18.28| 1.01|  77.0| 0.9| 0.40|0.03| 0.49|0.06|0.000| 76.7|0.4| 0.59|0.02
Sex-0028|1B  |3089.738|10 13 27.49 -01 36 27.3|18.28| 1.01|  76.8| 0.4| 0.40|0.01| 0.62|0.02|     |     |   |     |
Sex-0028|1R  |3411.775|10 13 27.49 -01 36 27.3|18.28| 1.01|  75.1| 1.0| 0.35|0.02| 0.51|0.08|     |     |   |     |
Sex-0029|8B  |3086.796|10 13 26.94 -01 37 10.1|     |     |  45.4| 1.4| 0.43|0.03| 0.93|0.04|0.000| 48.5|0.6| 0.93|0.02
Sex-0029|1B  |3089.738|10 13 26.94 -01 37 10.1|     |     |  50.5| 1.2| 0.42|0.02| 0.94|0.02|     |     |   |     |
Sex-0029|1R  |3411.775|10 13 26.94 -01 37 10.1|     |     |  49.3| 1.5| 0.35|0.02| 0.82|0.09|     |     |   |     |
Sex-0029|1R  |4122.822|10 13 26.94 -01 37 10.1|     |     |  48.2| 1.1|     |    |     |    |     |     |   |     |
Sex-0030|8B  |3086.796|10 13 33.65 -01 35 27.2|18.74| 1.09| 222.7| 4.6| 0.25|0.04| 0.16|0.10|0.999|223.0|0.9| 0.35|0.05
Sex-0030|1R  |3089.738|10 13 33.65 -01 35 27.2|18.74| 1.09| 219.3| 9.8| 0.26|0.03| 0.40|0.09|     |     |   |     |
Sex-0030|1R  |3411.775|10 13 33.65 -01 35 27.2|18.74| 1.09| 223.5| 4.3| 0.31|0.04| 0.45|0.10|     |     |   |     |
Sex-0030|1B  |4122.822|10 13 33.65 -01 35 27.2|18.74| 1.09| 223.0| 0.9|     |    |     |    |     |     |   |     |
Sex-0031|8R  |3086.796|10 14 01.27 -01 33 59.3|18.47| 0.85|  17.0| 6.2| 0.04|0.12| 0.87|0.11|0.000| 15.6|0.5| 0.90|0.02
Sex-0031|15B |3417.761|10 14 01.27 -01 33 59.3|18.47| 0.85|  15.6| 0.5| 0.35|0.02| 0.90|0.02|     |     |   |     |
Sex-0032|8R  |3086.796|10 13 43.90 -01 38 47.9|19.59| 0.78| 226.0| 9.5| 0.44|0.08| 0.60|0.14|0.997|223.7|1.5| 0.43|0.05
Sex-0032|1B  |3089.738|10 13 43.90 -01 38 47.9|19.59| 0.78| 219.7| 3.8| 0.33|0.04| 0.41|0.11|     |     |   |     |
Sex-0032|1R  |3411.775|10 13 43.90 -01 38 47.9|19.59| 0.78| 225.0|10.0| 0.35|0.05| 0.38|0.12|     |     |   |     |
Sex-0032|15B |3417.761|10 13 43.90 -01 38 47.9|19.59| 0.78| 224.9| 2.9| 0.30|0.03| 0.42|0.06|     |     |   |     |
Sex-0032|1B  |4122.822|10 13 43.90 -01 38 47.9|19.59| 0.78| 224.0| 2.1|     |    |     |    |     |     |   |     |
Sex-0033|14B |3088.704|10 13 10.03 -01 33 30.8|19.17| 0.64| 268.3| 3.0| 0.31|0.04| 0.28|0.09|0.001|269.6|1.7| 0.33|0.06
