#Table: J/AJ/137/3100/table3.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
For-1167|4B  |4021.610|02 39 53.47 -34 21 25.3|18.93| 1.24|  56.5| 0.4| 0.52|0.02| 0.71|0.04|0.998|     |   |     |
For-1168|4B  |4021.610|02 39 58.75 -34 24 24.5|19.26| 1.24|  43.4| 0.5| 0.53|0.02| 0.53|0.05|1.000|     |   |     |
For-1169|4B  |4021.610|02 39 58.34 -34 28 58.6|19.28| 1.23|  62.0| 0.7| 0.47|0.03| 0.67|0.06|1.000|     |   |     |
For-1170|4B  |4021.610|02 40 03.65 -34 28 04.1|18.95| 1.29|  86.5| 0.6| 0.44|0.02| 0.52|0.05|1.000|     |   |     |
For-1171|4B  |4021.610|02 40 08.21 -34 27 45.5|19.00| 1.12|  41.5| 0.9| 0.33|0.03| 0.37|0.06|1.000|     |   |     |
For-1172|4B  |4021.610|02 40 09.17 -34 26 28.3|18.91| 1.23|  76.6| 0.4| 0.51|0.02| 0.60|0.04|1.000|     |   |     |
For-1173|4B  |4021.610|02 40 01.54 -34 26 27.0|19.23| 1.22|  47.4| 0.5| 0.49|0.02| 0.66|0.05|1.000|     |   |     |
For-1174|4B  |4021.610|02 39 49.51 -34 26 30.4|19.14| 1.31|  57.9| 0.4| 0.53|0.02| 0.80|0.03|1.000|     |   |     |
For-1175|4B  |4021.610|02 39 53.43 -34 33 56.4|18.96| 1.31|  53.7| 0.4| 0.51|0.02| 0.69|0.04|0.997|     |   |     |
For-1176|4B  |4021.610|02 39 55.83 -34 32 21.7|19.34| 1.32|  61.2| 0.5| 0.52|0.02| 0.72|0.04|0.998|     |   |     |
For-1177|4B  |4021.610|02 39 48.03 -34 31 24.4|18.96| 1.31|  41.1| 0.4| 0.49|0.02| 0.53|0.05|0.996|     |   |     |
For-1178|4B  |4021.610|02 39 55.07 -34 30 19.3|18.98| 1.25|  62.6| 0.4| 0.50|0.02| 0.56|0.04|0.998|     |   |     |
For-1179|4B  |4021.610|02 39 56.56 -34 28 11.5|19.09| 1.11|  72.3| 0.5| 0.48|0.03| 0.66|0.06|1.000|     |   |     |
For-1180|4B  |4021.610|02 39 51.35 -34 27 50.2|19.20| 1.15|  59.3| 0.4| 0.50|0.02| 0.55|0.04|1.000|     |   |     |
For-1181|4B  |4021.610|02 39 47.07 -34 28 20.7|19.15| 1.41|  55.5| 0.6| 0.49|0.02| 0.54|0.04|0.998|     |   |     |
For-1182|4B  |4021.610|02 40 09.72 -34 20 09.0|19.31| 1.27|  69.6| 0.6| 0.53|0.03| 0.72|0.06|0.993|     |   |     |
For-1183|4B  |4021.610|02 40 12.67 -34 23 07.0|19.26| 1.21|  62.0| 0.3| 0.54|0.02| 0.77|0.03|0.996|     |   |     |
For-1184|4B  |4021.610|02 40 11.67 -34 24 08.2|19.39| 1.24|  43.8| 0.5| 0.47|0.03| 0.66|0.05|0.997|     |   |     |
For-1185|4B  |4021.610|02 40 03.79 -34 23 56.4|19.41| 1.12|  54.3| 0.7| 0.48|0.03| 0.56|0.07|0.998|     |   |     |
For-1186|4B  |4021.610|02 40 03.89 -34 24 44.8|19.28| 1.19|  58.2| 0.4| 0.45|0.02| 0.63|0.05|1.000|     |   |     |
For-1187|4B  |4021.610|02 40 27.59 -34 20 05.9|19.15| 1.06|  60.6| 0.6| 0.39|0.02| 0.43|0.05|0.990|     |   |     |
For-1188|4B  |4021.610|02 40 24.82 -34 20 20.9|19.22| 1.23|  39.0| 0.5| 0.54|0.02| 0.70|0.05|0.988|     |   |     |
For-1189|4B  |4021.610|02 40 17.71 -34 20 36.6|19.02| 1.38|  58.1| 1.0| 0.48|0.04| 0.60|0.08|0.996|     |   |     |
For-1190|4B  |4021.610|02 40 22.67 -34 23 05.3|19.05| 1.25|  61.8| 0.6| 0.49|0.03| 0.57|0.06|0.997|     |   |     |
For-1191|4B  |4021.610|02 40 23.47 -34 27 00.4|19.13| 1.18|  55.7| 0.7| 0.53|0.03| 0.65|0.07|0.997|     |   |     |
For-1192|4B  |4021.610|02 40 29.00 -34 24 37.0|19.34| 1.13|  41.3| 0.4| 0.54|0.03| 0.59|0.06|0.992|     |   |     |
For-1193|4B  |4021.610|02 40 19.62 -34 24 59.1|19.11| 1.33|  52.8| 0.4| 0.51|0.02| 0.67|0.04|0.998|     |   |     |
For-1194|4B  |4021.610|02 40 21.03 -34 26 30.0|19.19| 1.32|  47.2| 0.5| 0.53|0.02| 0.70|0.04|0.997|     |   |     |
For-1195|4B  |4021.610|02 40 20.91 -34 25 43.4|19.41| 1.25|  72.2| 0.4| 0.49|0.03| 0.60|0.06|0.996|     |   |     |
For-1196|4B  |4021.610|02 40 19.30 -34 25 40.2|19.00| 1.31|  52.8| 0.6| 0.59|0.03| 0.69|0.06|0.998|     |   |     |
For-1197|4B  |4021.610|02 40 14.31 -34 25 29.7|19.28| 1.12|  70.9| 0.4| 0.48|0.02| 0.56|0.05|0.997|     |   |     |
For-1198|4B  |4021.610|02 40 12.28 -34 25 39.6|19.18| 1.21|  72.5| 0.4| 0.55|0.02| 0.66|0.04|0.996|     |   |     |
For-1199|4R  |4021.610|02 40 27.89 -34 23 11.2|18.58| 1.45|  58.5| 2.5| 0.32|0.06| 0.62|0.11|0.996|     |   |     |
For-1200|4R  |4021.610|02 40 19.70 -34 22 07.4|18.42| 1.37|  62.4| 1.1| 0.43|0.03| 0.66|0.09|0.996|     |   |     |
For-1201|4R  |4021.610|02 38 59.13 -34 25 07.6|18.75| 1.37|  27.3| 1.9| 0.43|0.06| 0.59|0.11|0.899|     |   |     |
For-1202|4R  |4021.610|02 39 16.25 -34 18 11.1|18.81| 1.38|  64.0| 1.8| 0.36|0.06| 0.82|0.10|0.989|     |   |     |
For-1203|4R  |4021.610|02 39 22.16 -34 19 40.7|18.25| 1.25|  68.6| 1.0| 0.39|0.03| 0.49|0.09|0.989|     |   |     |
For-1204|4R  |4021.610|02 39 20.21 -34 31 57.2|18.37| 1.38|  43.5| 1.3| 0.36|0.05| 0.60|0.10|0.991|     |   |     |
For-1205|4R  |4021.610|02 39 27.92 -34 24 49.5|18.59| 1.34|  98.7| 2.2| 0.37|0.06| 0.53|0.11|0.290|     |   |     |
For-1206|4R  |4021.610|02 39 28.84 -34 24 12.9|18.45| 1.55|  73.8| 1.0| 0.42|0.03| 0.72|0.09|0.988|     |   |     |
For-1207|4R  |4021.610|02 39 16.02 -34 30 13.3|18.46| 1.50|  59.6| 1.3| 0.35|0.07| 0.67|0.11|0.994|     |   |     |
For-1208|4R  |4021.610|02 39 01.75 -34 27 19.6|18.59| 1.52|  55.0| 1.7| 0.43|0.05| 0.66|0.11|0.995|     |   |     |
For-1209|4R  |4021.610|02 39 37.83 -34 18 56.4|18.73| 1.36|  56.9| 1.0| 0.43|0.03| 0.64|0.09|0.995|     |   |     |
For-1210|4R  |4021.610|02 39 31.51 -34 20 47.1|18.68| 1.45|  35.8| 1.1| 0.39|0.04| 0.81|0.10|0.964|     |   |     |
For-1211|4R  |4021.610|02 39 47.21 -34 16 23.3|18.64| 1.29|   4.8| 4.4| 0.39|0.06| 0.49|0.12|0.039|     |   |     |
For-1212|4R  |4021.610|02 39 42.09 -34 20 19.9|18.52| 1.37|  66.2| 0.9| 0.40|0.03| 0.59|0.09|0.995|     |   |     |
For-1213|4R  |4021.610|02 39 46.78 -34 30 36.3|18.53| 1.41|  72.8| 2.2| 0.53|0.05| 0.53|0.13|0.995|     |   |     |
For-1214|4R  |4021.610|02 39 47.91 -34 27 46.7|18.66| 1.46|  38.2| 1.2| 0.37|0.04| 0.77|0.10|0.992|     |   |     |
For-1215|4R  |4021.610|02 39 45.36 -34 27 38.2|18.48| 1.51|  58.7| 1.0| 0.48|0.03| 0.72|0.09|0.998|     |   |     |
For-1216|4R  |4021.610|02 39 46.28 -34 26 34.6|18.75| 1.36|  53.4| 1.8| 0.30|0.06| 0.51|0.11|0.998|     |   |     |
For-1217|4R  |4021.610|02 39 51.32 -34 24 54.2|18.60| 1.50|  51.8| 0.9| 0.43|0.03| 0.64|0.09|0.998|     |   |     |
For-1218|4R  |4021.610|02 39 42.89 -34 31 17.8|18.19| 1.48|  46.0| 1.1| 0.49|0.03| 0.63|0.09|0.997|     |   |     |
For-1219|4R  |4021.610|02 39 38.43 -34 26 10.7|18.54| 1.47|  47.7| 1.8| 0.36|0.06| 0.78|0.10|0.996|     |   |     |
For-1220|4R  |4021.610|02 39 40.43 -34 25 57.3|18.76| 1.37|  77.8| 3.0| 0.35|0.06| 0.55|0.11|0.990|     |   |     |
For-1221|4R  |4021.610|02 39 53.70 -34 15 54.6|18.81| 1.33|  52.6| 1.5| 0.51|0.03| 0.62|0.10|0.995|     |   |     |
For-1222|4R  |4021.610|02 39 52.32 -34 17 22.6|18.84| 1.42|  34.7| 1.1| 0.43|0.04| 0.69|0.10|0.973|     |   |     |
For-1223|4R  |4021.610|02 39 52.27 -34 18 25.5|18.52| 1.48|  57.6| 1.0| 0.51|0.03| 0.70|0.10|0.996|     |   |     |
For-1224|4R  |4021.610|02 39 50.92 -34 21 17.7|18.83| 1.28|  63.1| 1.9| 0.31|0.06| 0.70|0.10|0.997|     |   |     |
For-1225|4R  |4021.610|02 39 53.16 -34 22 32.3|18.71| 1.38|  82.7| 1.2| 0.40|0.05| 0.55|0.11|0.981|     |   |     |
For-1226|4R  |4021.610|02 40 09.29 -34 18 59.5|18.61| 1.39|  52.4| 1.1| 0.37|0.05| 0.75|0.10|0.995|     |   |     |
For-1227|4R  |4021.610|02 40 05.15 -34 22 52.4|18.65| 1.39|  61.0| 0.9| 0.44|0.03| 0.74|0.09|0.998|     |   |     |
For-1228|4R  |4021.610|02 40 14.09 -34 22 57.9|18.46| 1.40|  49.9| 1.0| 0.42|0.04| 0.61|0.09|0.998|     |   |     |
For-1229|4R  |4021.610|02 40 02.41 -34 30 37.6|18.96| 1.38|  52.1| 1.0| 0.38|0.04| 0.56|0.10|0.998|     |   |     |
For-1230|4R  |4021.610|02 40 04.10 -34 28 33.6|18.68| 1.38|  47.0| 1.1| 0.38|0.03| 0.47|0.09|1.000|     |   |     |
For-1231|4R  |4021.610|02 39 47.66 -34 27 05.8|18.38| 1.47|  51.5| 0.9| 0.47|0.02| 0.74|0.09|0.998|     |   |     |
For-1232|4R  |4021.610|02 39 56.25 -34 25 04.1|18.83| 1.41|  45.9| 1.0| 0.44|0.03| 0.67|0.09|1.000|     |   |     |
For-1233|4R  |4021.610|02 39 56.02 -34 24 10.6|18.46| 1.48|  53.4| 0.9| 0.39|0.03| 0.71|0.09|1.000|     |   |     |
For-1234|4R  |4021.610|02 40 00.43 -34 34 28.8|18.28| 1.56|  47.6| 1.9| 0.42|0.04| 0.57|0.10|0.995|     |   |     |
For-1235|4R  |4021.610|02 40 03.38 -34 32 12.0|18.72| 1.42|  66.2| 1.4| 0.42|0.06| 0.75|0.11|0.997|     |   |     |
For-1236|4R  |4021.610|02 39 52.94 -34 30 37.4|18.62| 1.34|  49.4| 1.1| 0.39|0.04| 0.64|0.09|0.998|     |   |     |
For-1237|4R  |4021.610|02 39 57.42 -34 29 58.4|18.91| 1.35|  56.9| 1.0| 0.43|0.04| 0.81|0.10|1.000|     |   |     |
For-1238|4R  |4021.610|02 39 53.13 -34 27 56.5|18.66| 1.38|  71.4| 2.7| 0.42|0.07| 0.69|0.12|1.000|     |   |     |
For-1239|4R  |4021.610|02 39 52.14 -34 27 30.8|18.35| 1.51|  64.0| 1.1| 0.34|0.04| 0.68|0.09|1.000|     |   |     |
For-1240|4R  |4021.610|02 39 50.42 -34 27 36.3|18.79| 1.26|  39.5| 1.1| 0.38|0.04| 0.53|0.09|1.000|     |   |     |
For-1241|4R  |4021.610|02 40 15.32 -34 18 09.2|18.30| 1.58|  39.8| 1.6| 0.52|0.03| 0.60|0.09|0.987|     |   |     |
For-1242|4R  |4021.610|02 40 13.67 -34 18 59.8|18.74| 1.23|  61.2| 1.2| 0.50|0.05| 0.65|0.11|0.996|     |   |     |
For-1243|4R  |4021.610|02 40 12.32 -34 20 26.4|18.39| 1.52|  33.1| 1.3| 0.54|0.03| 0.57|0.10|0.977|     |   |     |
For-1244|4R  |4021.610|02 40 25.32 -34 20 41.2|18.50| 1.58|  44.2| 1.0| 0.46|0.03| 0.79|0.09|0.990|     |   |     |
For-1245|4R  |4021.610|02 40 16.09 -34 23 58.0|18.95| 1.33|  68.9| 4.3| 0.19|0.21| 0.37|0.13|0.993|     |   |     |
For-1246|4R  |4021.610|02 40 31.42 -34 25 33.5|18.71| 1.27|  60.9| 4.8| 0.05|0.23| 0.77|0.19|0.994|     |   |     |
For-1247|4R  |4021.610|02 40 34.93 -34 26 13.0|18.73| 1.32|  59.3| 1.2| 0.31|0.05| 0.74|0.10|0.994|     |   |     |
For-1248|4R  |4021.610|02 40 22.13 -34 30 43.4|18.97| 1.45|  41.5| 1.6| 0.45|0.04| 0.73|0.10|0.990|     |   |     |
For-1249|4R  |4021.610|02 40 26.50 -34 30 17.5|18.70| 1.40|  44.5| 1.1| 0.43|0.05| 0.76|0.10|0.992|     |   |     |
For-1250|4R  |4021.610|02 40 16.76 -34 29 34.5|18.39| 1.64|  53.8| 1.2| 0.43|0.05| 0.59|0.11|0.998|     |   |     |
For-1251|4R  |4021.610|02 40 24.49 -34 25 47.8|18.34| 1.52|  45.3| 1.1| 0.41|0.04| 0.75|0.09|0.994|     |   |     |
For-1252|4R  |4021.610|02 40 21.92 -34 25 21.3|18.84| 1.38|  55.6| 1.3| 0.37|0.05| 0.72|0.10|0.996|     |   |     |
For-1253|4R  |4021.610|02 40 15.08 -34 26 38.8|18.90| 1.46|  66.3| 1.1| 0.34|0.05| 0.79|0.10|0.996|     |   |     |
For-1254|4R  |4021.610|02 40 07.81 -34 26 44.9|18.69| 1.32|  43.2| 1.1| 0.38|0.04| 0.56|0.10|1.000|     |   |     |
For-1255|4R  |4021.610|02 40 10.42 -34 25 17.6|18.45| 1.64|  31.9| 1.0| 0.46|0.03| 0.61|0.09|0.986|     |   |     |
For-1256|4R  |4021.610|02 40 09.06 -34 24 37.8|18.56| 1.50|  56.8| 0.9| 0.41|0.03| 0.73|0.09|0.998|     |   |     |
For-1257|4R  |4021.610|02 40 04.08 -34 24 19.2|18.75| 1.37|  53.7| 1.8| 0.49|0.05| 0.61|0.11|1.000|     |   |     |
For-1258|9B  |4022.782|02 38 38.83 -34 34 25.4|18.88| 1.26|  34.1| 3.9| 0.53|0.11| 0.37|0.35|0.949|     |   |     |
For-1259|9B  |4022.782|02 38 59.73 -34 42 36.7|18.73| 1.35|  40.6| 2.5| 0.46|0.06| 0.60|0.12|0.988| 41.9|2.0| 0.59|0.09
For-1259|9R  |4025.635|02 38 59.73 -34 42 36.7|18.73| 1.35|  44.0| 3.2| 0.46|0.06| 0.58|0.13|     |     |   |     |
For-1260|9B  |4022.782|02 38 54.04 -34 40 56.7|19.18| 1.20|  64.1| 3.6| 0.35|0.05| 0.65|0.10|0.993| 63.3|0.7| 0.53|0.05
For-1260|9B  |4025.635|02 38 54.04 -34 40 56.7|19.18| 1.20|  63.2| 0.7| 0.41|0.02| 0.49|0.05|     |     |   |     |
For-1261|9B  |4022.782|02 38 55.76 -34 40 30.8|19.11| 1.26|  55.5| 3.5| 0.40|0.06| 0.58|0.11|0.994|     |   |     |
For-1262|9B  |4022.782|02 38 32.34 -34 43 24.1|18.80| 1.30|  45.1| 2.5| 0.61|0.05| 0.41|0.14|0.984|     |   |     |
For-1263|9B  |4022.782|02 38 37.52 -34 40 35.6|18.95| 1.36| -86.1| 5.3|     |    | 0.90|0.38|0.000|     |   |     |
For-1264|9B  |4022.782|02 38 53.39 -34 36 37.9|18.78| 1.31|  57.2| 3.6| 0.33|0.10| 0.76|0.16|0.994| 57.6|3.1| 0.64|0.10
For-1264|9R  |4025.635|02 38 53.39 -34 36 37.9|18.78| 1.31|  58.8| 6.1| 0.38|0.07| 0.56|0.12|     |     |   |     |
For-1265|9B  |4022.782|02 38 50.34 -34 36 55.2|18.82| 1.23|  36.3| 3.4| 0.57|0.10| 0.44|0.35|0.962|     |   |     |
For-1266|9B  |4022.782|02 38 57.78 -34 31 13.4|19.02| 1.03|  36.0| 2.9| 0.63|0.07| 0.23|0.27|0.980| 38.4|0.8| 0.51|0.05
For-1266|9B  |4025.635|02 38 57.78 -34 31 13.4|19.02| 1.03|  38.6| 0.8| 0.41|0.03| 0.52|0.05|     |     |   |     |
For-1267|9B  |4022.782|02 39 20.15 -34 43 34.3|19.40| 1.40|  36.9| 1.3|     |    | 0.54|0.11|0.975|     |   |     |
For-1268|9B  |4022.782|02 39 21.62 -34 42 36.9|18.73| 1.42|  36.3| 2.2|     |    | 0.89|0.13|0.954|     |   |     |
For-1269|9B  |4022.782|02 39 22.89 -34 39 40.6|19.27| 1.24|  61.5| 3.8| 0.49|0.06| 0.54|0.12|0.993|     |   |     |
For-1270|9B  |4022.782|02 39 12.43 -34 39 04.8|18.81| 1.18|  54.4| 5.0| 0.42|0.09| 0.38|0.15|0.989|     |   |     |
For-1271|9B  |4022.782|02 39 07.80 -34 40 52.7|19.05| 1.12|  51.7| 1.5|     |    | 0.40|0.10|0.987|     |   |     |
For-1272|9B  |4022.782|02 39 05.01 -34 39 18.0|19.25| 1.37|  52.0| 3.1|     |    | 0.42|0.19|0.989|     |   |     |
For-1273|9B  |4022.782|02 39 07.15 -34 38 45.8|18.91| 1.35|  35.5| 1.7| 0.48|0.07| 0.62|0.12|0.973|     |   |     |
For-1274|9B  |4022.782|02 39 08.21 -34 31 18.7|18.89| 1.24|  46.8| 3.9| 0.53|0.06| 0.29|0.20|0.983|     |   |     |
For-1275|9B  |4022.782|02 39 04.33 -34 34 53.8|18.81| 1.42|  56.0| 2.8| 0.40|0.08| 0.38|0.18|0.994| 55.3|2.7| 0.55|0.12
For-1275|9R  |4025.635|02 39 04.33 -34 34 53.8|18.81| 1.42|  45.4|10.3|-0.03|0.18| 0.69|0.16|     |     |   |     |
For-1276|9B  |4022.782|02 39 03.02 -34 36 37.1|18.91| 1.35|  51.0| 4.7| 0.45|0.08| 0.57|0.21|0.991|     |   |     |
For-1277|9B  |4022.782|02 39 05.03 -34 37 13.4|19.09| 1.23| -28.8| 4.9| 0.25|0.15| 0.47|0.29|0.000|     |   |     |
For-1278|9B  |4022.782|02 39 14.21 -34 35 44.1|19.01| 1.18|  44.1| 2.0| 0.51|0.07| 0.61|0.15|0.990|     |   |     |
For-1279|9B  |4022.782|02 39 36.01 -34 42 35.4|18.86| 1.14|  35.3| 2.0| 0.42|0.05| 0.48|0.10|0.970| 36.5|1.3| 0.45|0.06
For-1279|9B  |4025.635|02 39 36.01 -34 42 35.4|18.86| 1.14|  37.4| 1.7| 0.39|0.03| 0.44|0.07|     |     |   |     |
For-1280|9B  |4022.782|02 39 37.14 -34 42 15.1|19.02| 1.46|  44.5| 1.3| 0.59|0.04| 0.84|0.08|0.982|     |   |     |
For-1281|9B  |4022.782|02 39 35.29 -34 41 53.1|18.77| 1.11|  51.2| 3.0| 0.34|0.04| 0.10|0.11|0.831|     |   |     |
For-1282|9B  |4022.782|02 39 38.83 -34 41 41.6|18.79| 1.31|  50.9| 0.7| 0.50|0.03| 0.70|0.06|0.995| 51.0|0.6| 0.69|0.06
For-1282|9R  |4025.635|02 39 38.83 -34 41 41.6|18.79| 1.31|  52.5| 2.5| 0.32|0.08| 0.63|0.14|     |     |   |     |
For-1283|9B  |4022.782|02 39 36.66 -34 41 29.2|18.69| 1.29|  61.7| 0.8| 0.50|0.04| 0.61|0.08|0.995|     |   |     |
For-1284|9B  |4022.782|02 39 17.65 -34 38 32.7|18.93| 1.30|  64.0| 2.9| 0.44|0.05| 0.39|0.12|0.988|     |   |     |
For-1285|9B  |4022.782|02 39 32.08 -34 41 31.6|19.01| 1.39|  65.7| 1.2| 0.46|0.04| 0.47|0.10|0.991|     |   |     |
For-1286|9B  |4022.782|02 39 30.73 -34 41 03.6|19.15| 1.12|  59.1| 1.4| 0.46|0.05| 0.56|0.10|0.995| 55.8|0.6| 0.53|0.05
For-1286|9B  |4025.635|02 39 30.73 -34 41 03.6|19.15| 1.12|  55.0| 0.7| 0.51|0.03| 0.52|0.06|     |     |   |     |
For-1287|9B  |4022.782|02 39 28.09 -34 40 56.0|18.86| 1.30|  32.9| 1.3| 0.43|0.04| 0.58|0.08|0.967|     |   |     |
For-1288|9B  |4022.782|02 39 26.87 -34 40 43.4|19.01| 1.40|  49.7| 1.0| 0.39|0.05| 0.77|0.07|0.992|     |   |     |
For-1289|9B  |4022.782|02 39 25.42 -34 40 31.9|19.02| 1.42|  53.0| 1.2| 0.49|0.04| 0.68|0.08|0.995|     |   |     |
For-1290|9B  |4022.782|02 39 41.90 -34 39 45.4|18.91| 1.46|  58.6| 2.0|     |    |     |    |0.994| 58.8|1.5| 0.66|0.10
For-1290|9R  |4025.635|02 39 41.90 -34 39 45.4|18.91| 1.46|  59.1| 2.3| 0.42|0.05| 0.66|0.10|     |     |   |     |
For-1291|9B  |4022.782|02 39 43.30 -34 39 25.4|19.19| 1.21|  59.6| 2.5|     |    | 0.71|0.15|0.993|     |   |     |
For-1292|9B  |4022.782|02 39 43.89 -34 39 06.1|18.88| 1.22|  63.7| 2.1| 0.29|0.15| 0.62|0.14|0.993|     |   |     |
For-1293|9B  |4022.782|02 39 44.16 -34 37 46.2|19.16| 1.26|  73.9| 2.9| 0.61|0.06| 0.08|0.20|0.919|     |   |     |
For-1294|9B  |4022.782|02 39 52.53 -34 36 49.5|18.75| 1.38|  39.1| 3.9|     |    | 0.49|0.14|0.991| 43.3|2.6| 0.55|0.09
For-1294|9R  |4025.635|02 39 52.53 -34 36 49.5|18.75| 1.38|  47.0| 3.6| 0.28|0.07| 0.59|0.11|     |     |   |     |
For-1295|9B  |4022.782|02 39 50.05 -34 35 03.8|19.00| 1.24|  59.3| 3.2|     |    |     |    |0.992|     |   |     |
For-1296|9B  |4022.782|02 39 39.25 -34 40 59.7|18.84| 1.39|  56.9| 1.0| 0.62|0.04| 0.74|0.09|0.994|     |   |     |
For-1297|9B  |4022.782|02 39 33.13 -34 36 35.3|19.05| 1.29|  61.7| 4.1| 0.40|0.09| 0.49|0.21|0.991|     |   |     |
For-1298|9B  |4022.782|02 39 33.55 -34 36 15.9|18.86| 1.36|  57.3| 2.4| 0.47|0.08| 0.65|0.14|0.994|     |   |     |
For-1299|9B  |4022.782|02 39 30.03 -34 35 50.1|19.05| 1.45|  60.9| 2.9|     |    | 0.32|0.27|0.989|     |   |     |
For-1300|9B  |4022.782|02 39 23.63 -34 35 55.3|19.04| 1.31|  58.5| 3.9|     |    | 0.57|0.25|0.992|     |   |     |
For-1301|9B  |4022.782|02 39 23.07 -34 35 20.4|19.02| 1.42|  57.2| 2.5| 0.38|0.10| 0.55|0.14|0.994|     |   |     |
For-1302|9B  |4022.782|02 39 32.26 -34 34 47.9|19.19| 1.25|  68.3| 2.5| 0.54|0.09| 0.80|0.17|0.993| 66.7|2.1| 0.63|0.12
For-1302|9B  |4025.635|02 39 32.26 -34 34 47.9|19.19| 1.25|  62.7| 3.8| 0.19|0.09| 0.49|0.15|     |     |   |     |
For-1303|9R  |4022.782|02 38 39.19 -34 30 48.5|18.65| 1.39|  46.5|11.8|     |    |     |    |0.986|     |   |     |
For-1304|9R  |4022.782|02 38 53.06 -34 29 17.4|18.32| 1.41|  56.5| 7.2| 0.22|0.23| 0.77|0.15|0.991|     |   |     |
For-1305|9R  |4022.782|02 38 49.94 -34 39 22.0|18.63| 1.47|  39.6|11.9| 0.48|0.13| 0.76|0.27|0.980|     |   |     |
For-1306|9R  |4022.782|02 38 58.95 -34 35 45.3|18.56| 1.27|  18.4| 6.0| 0.51|0.09| 0.67|0.17|0.690|     |   |     |
For-1307|9R  |4022.782|02 38 54.29 -34 43 45.6|18.40| 1.44|  52.2| 7.5| 0.46|0.12| 0.31|0.29|0.986|     |   |     |
For-1308|9R  |4022.782|02 38 54.40 -34 42 01.8|18.60| 1.38|  49.5| 4.9| 0.03|0.26| 0.65|0.15|0.994| 49.3|1.3| 0.64|0.08
For-1308|9R  |4025.635|02 38 54.40 -34 42 01.8|18.60| 1.38|  49.3| 1.4| 0.42|0.04| 0.63|0.10|     |     |   |     |
For-1309|9R  |4022.782|02 38 53.07 -34 42 07.0|18.59| 1.36|  45.3|10.6|-0.09|0.27| 0.61|0.20|0.987|     |   |     |
For-1310|9R  |4022.782|02 38 46.32 -34 41 14.8|18.62| 1.37|  67.4| 5.4| 0.46|0.14| 0.28|0.35|0.983|     |   |     |
For-1311|9R  |4022.782|02 38 53.63 -34 33 04.8|18.34| 1.63|  47.5| 3.1|     |    |     |    |0.985| 40.0|1.1| 0.62|0.11
For-1311|9R  |4025.635|02 38 53.63 -34 33 04.8|18.34| 1.63|  38.9| 1.2| 0.48|0.04| 0.62|0.11|     |     |   |     |
For-1312|9R  |4022.782|02 39 14.42 -34 41 25.3|18.54| 1.61|  49.4| 3.8| 0.34|0.16| 0.63|0.22|0.991|     |   |     |
For-1313|9R  |4022.782|02 39 02.19 -34 41 48.5|18.50| 1.52|  41.9| 1.4| 0.36|0.09| 0.72|0.14|0.986| 43.2|0.9| 0.76|0.08
For-1313|9R  |4025.635|02 39 02.19 -34 41 48.5|18.50| 1.52|  44.2| 1.3| 0.51|0.05| 0.78|0.10|     |     |   |     |
For-1314|9R  |4022.782|02 38 56.44 -34 41 01.9|18.79| 1.45|  27.9| 7.5| 0.42|0.10| 0.59|0.18|0.885| 26.9|3.0| 0.50|0.10
For-1314|9R  |4025.635|02 38 56.44 -34 41 01.9|18.79| 1.45|  26.7| 3.3| 0.45|0.05| 0.46|0.12|     |     |   |     |
For-1315|9R  |4022.782|02 39 09.89 -34 48 23.0|18.74| 1.43|  67.2| 6.2| 0.55|0.08| 0.46|0.20|0.987|     |   |     |
For-1316|9R  |4022.782|02 39 12.25 -34 44 38.6|18.18| 1.41|  61.2| 5.0| 0.39|0.07| 0.29|0.15|0.987| 62.6|4.2| 0.42|0.09
For-1316|9R  |4025.635|02 39 12.25 -34 44 38.6|18.18| 1.41|  65.9| 7.7| 0.32|0.05| 0.48|0.11|     |     |   |     |
For-1317|9R  |4022.782|02 39 00.67 -34 43 04.7|18.51| 1.48|  41.1| 5.8| 0.51|0.08| 0.75|0.14|0.994| 51.7|1.2| 0.68|0.08
For-1317|9R  |4025.635|02 39 00.67 -34 43 04.7|18.51| 1.48|  52.2| 1.2| 0.37|0.04| 0.64|0.10|     |     |   |     |
For-1318|9R  |4022.782|02 38 59.69 -34 42 19.6|18.36| 1.58|  48.6| 3.2| 0.41|0.08| 0.44|0.17|0.989|     |   |     |
For-1319|9R  |4022.782|02 39 08.33 -34 34 04.9|18.25| 1.45|  18.8| 7.0| 0.24|0.19| 0.54|0.23|0.753|     |   |     |
For-1320|9R  |4022.782|02 39 18.75 -34 37 00.5|18.70| 1.46|  49.7| 4.6| 0.63|0.15| 0.62|0.27|0.991|     |   |     |
For-1321|9R  |4022.782|02 39 34.09 -34 33 09.7|18.53| 1.52|  68.4| 5.5|     |    | 0.56|0.25|0.991|     |   |     |
For-1322|9R  |4022.782|02 39 24.81 -34 34 38.3|18.54| 1.53|  54.6| 8.7| 0.46|0.10| 0.36|0.27|0.990| 62.4|5.1| 0.43|0.12
