#Table: J/AJ/137/3100/table3.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
For-0056|4B  |4021.610|02 40 25.43 -34 30 55.2|19.11| 1.07|  46.9| 0.7| 0.37|0.03| 0.25|0.08|     |     |   |     |
For-0057|15B |3287.826|02 40 27.22 -34 32 24.0|19.38| 1.17|  50.0| 0.6| 0.52|0.03| 0.61|0.07|0.995|     |   |     |
For-0058|15B |3287.826|02 40 26.50 -34 34 37.4|19.11| 1.14|  45.9| 0.4| 0.45|0.03| 0.50|0.05|0.992|     |   |     |
For-0059|15B |3287.826|02 40 25.47 -34 34 59.4|19.02| 1.17|  73.2| 0.4| 0.55|0.02| 0.57|0.05|0.988|     |   |     |
For-0060|15B |3287.826|02 40 31.98 -34 35 59.9|19.24| 1.12|  55.5| 0.4| 0.55|0.02| 0.72|0.04|0.994|     |   |     |
For-0061|15B |3287.826|02 40 35.36 -34 42 37.5|21.07| 0.86|  46.7| 3.6| 0.49|0.11| 0.67|0.14|0.991|     |   |     |
For-0062|15B |3287.826|02 40 32.17 -34 42 38.5|20.48| 1.06|  50.3| 1.1| 0.43|0.06| 0.57|0.10|0.993|     |   |     |
For-0063|15B |3287.826|02 40 33.10 -34 41 53.8|18.61| 1.45|  77.8| 0.5| 0.51|0.02| 0.68|0.05|0.974|     |   |     |
For-0064|15B |3287.826|02 40 30.23 -34 39 44.6|19.00| 1.19|  52.8| 0.4| 0.56|0.02| 0.63|0.05|0.995|     |   |     |
For-0065|15B |3287.826|02 40 27.32 -34 39 08.5|19.29| 1.27|  64.5| 0.5| 0.52|0.03| 0.60|0.06|0.994|     |   |     |
For-0066|15B |3287.826|02 40 31.28 -34 42 55.5|21.14| 0.85|  62.2| 5.2| 0.52|0.10| 0.27|0.19|0.981|     |   |     |
For-0067|15B |3287.826|02 40 30.47 -34 42 41.5|21.14| 1.13|  58.4| 2.7| 0.47|0.10| 0.45|0.18|0.990|     |   |     |
For-0068|15B |3287.826|02 40 30.32 -34 42 18.6|20.00| 1.27|  50.8| 2.3| 0.44|0.05| 0.26|0.13|0.971|     |   |     |
For-0069|15B |3287.826|02 40 31.49 -34 42 10.0|19.76| 1.30|  53.4| 0.5| 0.49|0.03| 0.47|0.07|0.992|     |   |     |
For-0070|15B |3287.826|02 40 29.43 -34 42 06.3|19.34| 1.08|  56.9| 0.4| 0.51|0.03| 0.59|0.06|0.995|     |   |     |
